state_type,match_id,deployment_history_status,eligible_for_state,consumed_by_state,eligibility_reason
form,487653,included,True,True,both sides identity-eligible: both histories updated
form,487656,included,True,True,both sides identity-eligible: both histories updated
form,557551,included,True,True,both sides identity-eligible: both histories updated
form,557623,included,True,True,both sides identity-eligible: both histories updated
form,557625,included,True,True,both sides identity-eligible: both histories updated
form,557626,included,True,True,both sides identity-eligible: both histories updated
form,557632,included,True,True,both sides identity-eligible: both histories updated
form,557633,included,True,True,both sides identity-eligible: both histories updated
form,557637,included,True,True,both sides identity-eligible: both histories updated
form,557638,included,True,True,both sides identity-eligible: both histories updated
form,557639,included,True,True,both sides identity-eligible: both histories updated
form,557642,included,True,True,both sides identity-eligible: both histories updated
form,557645,included,True,True,both sides identity-eligible: both histories updated
form,557647,included,True,True,both sides identity-eligible: both histories updated
form,557650,included,True,True,both sides identity-eligible: both histories updated
form,566812,included,True,True,both sides identity-eligible: both histories updated
form,566813,included,True,True,both sides identity-eligible: both histories updated
form,566814,included,True,True,both sides identity-eligible: both histories updated
form,566815,included,True,True,both sides identity-eligible: both histories updated
form,580027,included,True,True,both sides identity-eligible: both histories updated
form,585168,included,True,True,both sides identity-eligible: both histories updated
form,588338,included,True,True,both sides identity-eligible: both histories updated
form,589042,included,True,True,both sides identity-eligible: both histories updated
form,589043,included,True,True,both sides identity-eligible: both histories updated
form,589045,included,True,True,both sides identity-eligible: both histories updated
form,589046,included,True,True,both sides identity-eligible: both histories updated
form,589047,included,True,True,both sides identity-eligible: both histories updated
form,589048,included,True,True,both sides identity-eligible: both histories updated
form,589049,included,True,True,both sides identity-eligible: both histories updated
form,589226,included,True,True,both sides identity-eligible: both histories updated
form,589725,included,True,True,both sides identity-eligible: both histories updated
form,589731,included,True,True,both sides identity-eligible: both histories updated
form,589732,included,True,True,both sides identity-eligible: both histories updated
form,589733,included,True,True,both sides identity-eligible: both histories updated
form,589734,included,True,True,both sides identity-eligible: both histories updated
form,592593,included,True,True,both sides identity-eligible: both histories updated
form,593236,included,True,True,both sides identity-eligible: both histories updated
form,593237,included,True,True,both sides identity-eligible: both histories updated
form,593331,included,True,True,both sides identity-eligible: both histories updated
form,593332,included,True,True,both sides identity-eligible: both histories updated
form,593763,included,True,True,both sides identity-eligible: both histories updated
form,597060,included,True,True,both sides identity-eligible: both histories updated
form,597061,included,True,True,both sides identity-eligible: both histories updated
form,597261,included,True,True,both sides identity-eligible: both histories updated
form,597457,included,True,True,both sides identity-eligible: both histories updated
form,597458,included,True,True,both sides identity-eligible: both histories updated
form,597459,included,True,True,both sides identity-eligible: both histories updated
form,601210,included,True,True,both sides identity-eligible: both histories updated
form,601536,included,True,True,both sides identity-eligible: both histories updated
form,602150,included,True,True,both sides identity-eligible: both histories updated
form,602151,included,True,True,both sides identity-eligible: both histories updated
form,602567,included,True,True,both sides identity-eligible: both histories updated
form,606591,included,True,True,both sides identity-eligible: both histories updated
form,606592,included,True,True,both sides identity-eligible: both histories updated
form,607260,included,True,True,both sides identity-eligible: both histories updated
form,607261,included,True,True,both sides identity-eligible: both histories updated
form,607262,included,True,True,both sides identity-eligible: both histories updated
form,607263,included,True,True,both sides identity-eligible: both histories updated
form,609844,included,True,True,both sides identity-eligible: both histories updated
form,609845,included,True,True,both sides identity-eligible: both histories updated
form,609846,included,True,True,both sides identity-eligible: both histories updated
