stage,round,best_of,team_a,team_b,times_matchup_occurred,fraction_of_simulations,model_probability_team_a,team_a_win_count,team_b_win_count
playoffs,1,3,9z Team,Astralis,55,0.0011,0.4117597354449025,20,35
playoffs,1,3,9z Team,Aurora Gaming,120,0.0024,0.419758587084027,41,79
playoffs,1,3,9z Team,B8 Esports,28,0.00056,0.4406078279982455,15,13
playoffs,1,3,9z Team,BIG,39,0.00078,0.3931707049470456,16,23
playoffs,1,3,9z Team,BetBoom Team,58,0.00116,0.39180928248599495,28,30
playoffs,1,3,9z Team,FURIA Esports,138,0.00276,0.3734488574801558,56,82
playoffs,1,3,9z Team,FUT Esports,49,0.00098,0.3795868129790846,18,31
playoffs,1,3,9z Team,FlyQuest,8,0.00016,0.5061160648372184,4,4
playoffs,1,3,9z Team,G2 Esports,84,0.00168,0.3808356535099255,34,50
playoffs,1,3,9z Team,Gaimin Gladiators,1,2e-05,0.6273492507577543,0,1
playoffs,1,3,9z Team,GamerLegion,37,0.00074,0.41840806593759583,15,22
playoffs,1,3,9z Team,Heroic,14,0.00028,0.5044275444462224,4,10
playoffs,1,3,9z Team,Legacy,67,0.00134,0.3764210396048008,24,43
playoffs,1,3,9z Team,Lynn Vision Gaming,5,0.0001,0.5793899681067202,5,0
playoffs,1,3,9z Team,M80,6,0.00012,0.535718359106196,1,5
playoffs,1,3,9z Team,MIBR,9,0.00018,0.5307574190951477,2,7
playoffs,1,3,9z Team,MOUZ,162,0.00324,0.28559172312845066,49,113
playoffs,1,3,9z Team,Monte,23,0.00046,0.4913759488338826,9,14
playoffs,1,3,9z Team,NRG Esports,1,2e-05,0.6374400582721952,1,0
playoffs,1,3,9z Team,Natus Vincere,154,0.00308,0.24989085644584746,43,111
playoffs,1,3,9z Team,PARIVISION,100,0.002,0.415588973334878,44,56
playoffs,1,3,9z Team,Sharks Esports,1,2e-05,0.5999940395698253,0,1
playoffs,1,3,9z Team,Sinners Esports,25,0.0005,0.41665554087534307,10,15
playoffs,1,3,9z Team,THUNDERdOWNUNDER,2,4e-05,0.7159458821334598,1,1
playoffs,1,3,9z Team,TYLOO,10,0.0002,0.5375712002975289,5,5
playoffs,1,3,9z Team,Team Falcons,150,0.003,0.3272943867250178,44,106
playoffs,1,3,9z Team,Team Liquid,4,8e-05,0.5525930695399238,3,1
playoffs,1,3,9z Team,Team Spirit,159,0.00318,0.19566028101363922,31,128
playoffs,1,3,9z Team,Team Vitality,157,0.00314,0.21730973948547866,37,120
playoffs,1,3,9z Team,The Mongolz,131,0.00262,0.37185632191010876,52,79
playoffs,1,3,9z Team,paiN Gaming,34,0.00068,0.4524796026046837,19,15
playoffs,1,3,Astralis,9z Team,42,0.00084,0.5898905519818114,16,26
playoffs,1,3,Astralis,Aurora Gaming,220,0.0044,0.4359421870201349,103,117
playoffs,1,3,Astralis,B8 Esports,60,0.0012,0.5680852420537889,35,25
playoffs,1,3,Astralis,BIG,95,0.0019,0.5296014267375477,51,44
playoffs,1,3,Astralis,BetBoom Team,117,0.00234,0.4123110357681294,52,65
playoffs,1,3,Astralis,FURIA Esports,250,0.005,0.38935950247848755,99,151
playoffs,1,3,Astralis,FUT Esports,123,0.00246,0.5385788013826612,55,68
playoffs,1,3,Astralis,FlyQuest,18,0.00036,0.6088116773410585,11,7
playoffs,1,3,Astralis,G2 Esports,152,0.00304,0.42150673542724415,68,84
playoffs,1,3,Astralis,Gaimin Gladiators,3,6e-05,0.6763845363423576,1,2
playoffs,1,3,Astralis,GamerLegion,80,0.0016,0.4553905414869317,41,39
playoffs,1,3,Astralis,Heroic,29,0.00058,0.6035410448944384,14,15
playoffs,1,3,Astralis,Legacy,179,0.00358,0.45267834231374415,79,100
playoffs,1,3,Astralis,Lynn Vision Gaming,6,0.00012,0.6334746873161173,2,4
playoffs,1,3,Astralis,M80,24,0.00048,0.5942580315642797,15,9
playoffs,1,3,Astralis,MIBR,26,0.00052,0.6140074074256227,19,7
playoffs,1,3,Astralis,MOUZ,324,0.00648,0.3601334901404396,118,206
playoffs,1,3,Astralis,Monte,69,0.00138,0.571665003073856,38,31
playoffs,1,3,Astralis,NRG Esports,1,2e-05,0.7341046799997586,1,0
playoffs,1,3,Astralis,Natus Vincere,344,0.00688,0.28471487736778917,78,266
playoffs,1,3,Astralis,PARIVISION,184,0.00368,0.5605176475249174,104,80
playoffs,1,3,Astralis,Sharks Esports,9,0.00018,0.6343570801745229,6,3
playoffs,1,3,Astralis,Sinners Esports,44,0.00088,0.5649379247507754,22,22
playoffs,1,3,Astralis,THUNDERdOWNUNDER,2,4e-05,0.7295690185009325,1,1
playoffs,1,3,Astralis,TYLOO,14,0.00028,0.6131621479298793,10,4
playoffs,1,3,Astralis,Team Falcons,313,0.00626,0.34616633861062324,117,196
playoffs,1,3,Astralis,Team Liquid,14,0.00028,0.6421861461403121,4,10
playoffs,1,3,Astralis,Team Spirit,317,0.00634,0.20704239988313142,84,233
playoffs,1,3,Astralis,Team Vitality,324,0.00648,0.19372269603268485,71,253
playoffs,1,3,Astralis,The Mongolz,270,0.0054,0.413603365719618,105,165
