canonical_model_name,display_name,starting_stage,metric,denominator_type,numerator_count,denominator_count,probability,mc_standard_error,mc_ci95_low,mc_ci95_high
GamerLegion,GamerLegion,stage_1,participate_stage_1,unconditional_n_simulations,50000,50000,1.0,0.0,1.0,1.0
GamerLegion,GamerLegion,stage_1,participate_stage_2,unconditional_n_simulations,37627,50000,0.75254,0.00192988884861279,0.7487574178567189,0.7563225821432811
GamerLegion,GamerLegion,stage_1,participate_stage_3,unconditional_n_simulations,21732,50000,0.43464,0.002216881008985372,0.4302949132223887,0.43898508677761133
GamerLegion,GamerLegion,stage_1,reach_playoffs,unconditional_n_simulations,8596,50000,0.17192,0.0016873856322725993,0.1686127241607457,0.1752272758392543
GamerLegion,GamerLegion,stage_1,reach_semifinal,unconditional_n_simulations,3438,50000,0.06876,0.0011316542086697685,0.06654195775100726,0.07097804224899275
GamerLegion,GamerLegion,stage_1,reach_final,unconditional_n_simulations,1292,50000,0.02584,0.000709539208218968,0.02444930315189082,0.027230696848109175
GamerLegion,GamerLegion,stage_1,win_tournament,unconditional_n_simulations,453,50000,0.00906,0.00042374323357429556,0.00822946326219438,0.00989053673780562
GamerLegion,GamerLegion,stage_1,advance_from_stage_1,conditional_on_stage_participation,37627,50000,0.75254,0.00192988884861279,0.7487574178567189,0.7563225821432811
GamerLegion,GamerLegion,stage_1,advance_from_stage_2,conditional_on_stage_participation,21732,37627,0.5775639833098573,0.002546424031324452,0.5725729922084614,0.5825549744112531
GamerLegion,GamerLegion,stage_1,advance_from_stage_3,conditional_on_stage_participation,8596,21732,0.39554573900239276,0.0033168835827644813,0.3890446471801744,0.4020468308246111
B8 Esports,B8,stage_1,participate_stage_1,unconditional_n_simulations,50000,50000,1.0,0.0,1.0,1.0
B8 Esports,B8,stage_1,participate_stage_2,unconditional_n_simulations,33050,50000,0.661,0.0021169742558661405,0.6568507304585024,0.6651492695414977
B8 Esports,B8,stage_1,participate_stage_3,unconditional_n_simulations,15556,50000,0.31112,0.0020703832765939737,0.3070620487778758,0.3151779512221242
B8 Esports,B8,stage_1,reach_playoffs,unconditional_n_simulations,5044,50000,0.10088,0.0013468721216210544,0.09824013064162274,0.10351986935837726
B8 Esports,B8,stage_1,reach_semifinal,unconditional_n_simulations,1827,50000,0.03654,0.0008391046227974197,0.03489535493931706,0.03818464506068295
B8 Esports,B8,stage_1,reach_final,unconditional_n_simulations,691,50000,0.01382,0.0005220920914934452,0.012796699500672849,0.014843300499327153
B8 Esports,B8,stage_1,win_tournament,unconditional_n_simulations,253,50000,0.00506,0.0003173136114319712,0.004438065321593337,0.005681934678406664
B8 Esports,B8,stage_1,advance_from_stage_1,conditional_on_stage_participation,33050,50000,0.661,0.0021169742558661405,0.6568507304585024,0.6651492695414977
B8 Esports,B8,stage_1,advance_from_stage_2,conditional_on_stage_participation,15556,33050,0.4706807866868381,0.002745594098005832,0.4652994222547467,0.4760621511189295
B8 Esports,B8,stage_1,advance_from_stage_3,conditional_on_stage_participation,5044,15556,0.3242478786320391,0.003753041038605326,0.31689191819637264,0.3316038390677055
Heroic,HEROIC,stage_1,participate_stage_1,unconditional_n_simulations,50000,50000,1.0,0.0,1.0,1.0
Heroic,HEROIC,stage_1,participate_stage_2,unconditional_n_simulations,28230,50000,0.5646,0.002217326498285717,0.56025404006336,0.56894595993664
Heroic,HEROIC,stage_1,participate_stage_3,unconditional_n_simulations,10680,50000,0.2136,0.001832894104960786,0.21000752755427687,0.21719247244572315
Heroic,HEROIC,stage_1,reach_playoffs,unconditional_n_simulations,2630,50000,0.0526,0.0009983310072315694,0.050643271225826125,0.05455672877417388
Heroic,HEROIC,stage_1,reach_semifinal,unconditional_n_simulations,854,50000,0.01708,0.0005794527349145917,0.0159442726395674,0.0182157273604326
Heroic,HEROIC,stage_1,reach_final,unconditional_n_simulations,253,50000,0.00506,0.0003173136114319712,0.004438065321593337,0.005681934678406664
Heroic,HEROIC,stage_1,win_tournament,unconditional_n_simulations,63,50000,0.00126,0.0001586450377414938,0.0009490557260266722,0.0015709442739733279
Heroic,HEROIC,stage_1,advance_from_stage_1,conditional_on_stage_participation,28230,50000,0.5646,0.002217326498285717,0.56025404006336,0.56894595993664
Heroic,HEROIC,stage_1,advance_from_stage_2,conditional_on_stage_participation,10680,28230,0.3783209351753454,0.002886408996717211,0.37266357354177965,0.3839782968089111
Heroic,HEROIC,stage_1,advance_from_stage_3,conditional_on_stage_participation,2630,10680,0.24625468164794007,0.0041688755951624626,0.23808368548142164,0.2544256778144585
BetBoom Team,BetBoom Team,stage_1,participate_stage_1,unconditional_n_simulations,50000,50000,1.0,0.0,1.0,1.0
BetBoom Team,BetBoom Team,stage_1,participate_stage_2,unconditional_n_simulations,39714,50000,0.79428,0.0018077570721753517,0.7907367961385363,0.7978232038614637
BetBoom Team,BetBoom Team,stage_1,participate_stage_3,unconditional_n_simulations,25881,50000,0.51762,0.0022346791071650536,0.5132400289499565,0.5219999710500435
BetBoom Team,BetBoom Team,stage_1,reach_playoffs,unconditional_n_simulations,12569,50000,0.25138,0.0019400417294481067,0.2475775182102817,0.2551824817897183
BetBoom Team,BetBoom Team,stage_1,reach_semifinal,unconditional_n_simulations,5771,50000,0.11542,0.0014289732229821523,0.11261921248295498,0.11822078751704501
BetBoom Team,BetBoom Team,stage_1,reach_final,unconditional_n_simulations,2518,50000,0.05036,0.000977996629851044,0.04844312660549196,0.052276873394508046
BetBoom Team,BetBoom Team,stage_1,win_tournament,unconditional_n_simulations,1054,50000,0.02108,0.0006424271725261938,0.01982084274184866,0.022339157258151342
BetBoom Team,BetBoom Team,stage_1,advance_from_stage_1,conditional_on_stage_participation,39714,50000,0.79428,0.0018077570721753517,0.7907367961385363,0.7978232038614637
BetBoom Team,BetBoom Team,stage_1,advance_from_stage_2,conditional_on_stage_participation,25881,39714,0.6516845444931259,0.002390745063163503,0.6469986841693254,0.6563704048169263
BetBoom Team,BetBoom Team,stage_1,advance_from_stage_3,conditional_on_stage_participation,12569,25881,0.48564584057803023,0.003106708019249489,0.4795566928603012,0.49173498829575923
BIG,BIG,stage_1,participate_stage_1,unconditional_n_simulations,50000,50000,1.0,0.0,1.0,1.0
BIG,BIG,stage_1,participate_stage_2,unconditional_n_simulations,35867,50000,0.71734,0.0020137692241168053,0.713393012320731,0.7212869876792689
BIG,BIG,stage_1,participate_stage_3,unconditional_n_simulations,19739,50000,0.39478,0.0021859952040203566,0.3904954494001201,0.39906455059987994
BIG,BIG,stage_1,reach_playoffs,unconditional_n_simulations,7885,50000,0.1577,0.0016299123289306085,0.154505371835296,0.160894628164704
BIG,BIG,stage_1,reach_semifinal,unconditional_n_simulations,3189,50000,0.06378,0.0010928139054752187,0.06163808474526857,0.06592191525473143
BIG,BIG,stage_1,reach_final,unconditional_n_simulations,1201,50000,0.02402,0.0006847341031378531,0.022677921157849806,0.025362078842150193
BIG,BIG,stage_1,win_tournament,unconditional_n_simulations,455,50000,0.0091,0.0004246690476123731,0.008267648666679749,0.009932351333320252
BIG,BIG,stage_1,advance_from_stage_1,conditional_on_stage_participation,35867,50000,0.71734,0.0020137692241168053,0.713393012320731,0.7212869876792689
BIG,BIG,stage_1,advance_from_stage_2,conditional_on_stage_participation,19739,35867,0.550338751498592,0.002626698655115387,0.5451904221345658,0.5554870808626182
BIG,BIG,stage_1,advance_from_stage_3,conditional_on_stage_participation,7885,19739,0.39946299204620295,0.0034861461467888526,0.3926301455984968,0.4062958384939091
M80,M80,stage_1,participate_stage_1,unconditional_n_simulations,50000,50000,1.0,0.0,1.0,1.0
M80,M80,stage_1,participate_stage_2,unconditional_n_simulations,26164,50000,0.52328,0.0022336429508764376,0.5189020598162821,0.5276579401837178
M80,M80,stage_1,participate_stage_3,unconditional_n_simulations,8351,50000,0.16702,0.0016680786528218627,0.16375056584046915,0.17028943415953085
M80,M80,stage_1,reach_playoffs,unconditional_n_simulations,1537,50000,0.03074,0.0007719462727418275,0.02922698530542602,0.032253014694573985
M80,M80,stage_1,reach_semifinal,unconditional_n_simulations,455,50000,0.0091,0.0004246690476123731,0.008267648666679749,0.009932351333320252
M80,M80,stage_1,reach_final,unconditional_n_simulations,124,50000,0.00248,0.0002224342419682725,0.002044028885742186,0.002915971114257814
M80,M80,stage_1,win_tournament,unconditional_n_simulations,35,50000,0.0007,0.00011828017585377525,0.0004681708553266005,0.0009318291446733995
M80,M80,stage_1,advance_from_stage_1,conditional_on_stage_participation,26164,50000,0.52328,0.0022336429508764376,0.5189020598162821,0.5276579401837178
M80,M80,stage_1,advance_from_stage_2,conditional_on_stage_participation,8351,26164,0.3191790246139734,0.0028819176386776944,0.3135304660421651,0.3248275831857817
M80,M80,stage_1,advance_from_stage_3,conditional_on_stage_participation,1537,8351,0.1840498143934858,0.00424062893992814,0.17573818167122665,0.19236144711574496
MIBR,MIBR,stage_1,participate_stage_1,unconditional_n_simulations,50000,50000,1.0,0.0,1.0,1.0
MIBR,MIBR,stage_1,participate_stage_2,unconditional_n_simulations,30427,50000,0.60854,0.0021827462903415964,0.6042618172709304,0.6128181827290695
MIBR,MIBR,stage_1,participate_stage_3,unconditional_n_simulations,11267,50000,0.22534,0.0018684853994612857,0.2216777686170559,0.22900223138294412
MIBR,MIBR,stage_1,reach_playoffs,unconditional_n_simulations,2659,50000,0.05318,0.0010035127064467095,0.05121311509536445,0.05514688490463555
MIBR,MIBR,stage_1,reach_semifinal,unconditional_n_simulations,870,50000,0.0174,0.0005847604637798284,0.016253869490991536,0.01854613050900846
MIBR,MIBR,stage_1,reach_final,unconditional_n_simulations,276,50000,0.00552,0.0003313466342065361,0.004870560596955189,0.006169439403044811
MIBR,MIBR,stage_1,win_tournament,unconditional_n_simulations,85,50000,0.0017,0.0001842340902221953,0.001338901183164497,0.002061098816835503
MIBR,MIBR,stage_1,advance_from_stage_1,conditional_on_stage_participation,30427,50000,0.60854,0.0021827462903415964,0.6042618172709304,0.6128181827290695
MIBR,MIBR,stage_1,advance_from_stage_2,conditional_on_stage_participation,11267,30427,0.3702961185788937,0.002768300287282772,0.36487025001581946,0.375721987141968
MIBR,MIBR,stage_1,advance_from_stage_3,conditional_on_stage_participation,2659,11267,0.23599893494275317,0.004000348764956902,0.22815825136343765,0.2438396185220687
Sinners Esports,SINNERS Esports,stage_1,participate_stage_1,unconditional_n_simulations,50000,50000,1.0,0.0,1.0,1.0
Sinners Esports,SINNERS Esports,stage_1,participate_stage_2,unconditional_n_simulations,30867,50000,0.61734,0.0021736205943080314,0.6130797036351563,0.6216002963648437
Sinners Esports,SINNERS Esports,stage_1,participate_stage_3,unconditional_n_simulations,14439,50000,0.28878,0.0020267516453675322,0.2848075667750796,0.29275243322492034
Sinners Esports,SINNERS Esports,stage_1,reach_playoffs,unconditional_n_simulations,4218,50000,0.08436,0.0012429271129072693,0.08192386285870176,0.08679613714129825
Sinners Esports,SINNERS Esports,stage_1,reach_semifinal,unconditional_n_simulations,1520,50000,0.0304,0.0007677999739515494,0.028895112051054963,0.031904887948945033
Sinners Esports,SINNERS Esports,stage_1,reach_final,unconditional_n_simulations,491,50000,0.00982,0.0004409890610888211,0.00895566144026591,0.01068433855973409
Sinners Esports,SINNERS Esports,stage_1,win_tournament,unconditional_n_simulations,152,50000,0.00304,0.0002462014784683471,0.00255744510220204,0.0035225548977979603
Sinners Esports,SINNERS Esports,stage_1,advance_from_stage_1,conditional_on_stage_participation,30867,50000,0.61734,0.0021736205943080314,0.6130797036351563,0.6216002963648437
Sinners Esports,SINNERS Esports,stage_1,advance_from_stage_2,conditional_on_stage_participation,14439,30867,0.46778112547380696,0.002840006096824758,0.46221471352403043,0.4733475374235835
Sinners Esports,SINNERS Esports,stage_1,advance_from_stage_3,conditional_on_stage_participation,4218,14439,0.2921254934552254,0.0037843762410855555,0.28470811602269774,0.2995428708877531
NRG Esports,NRG,stage_1,participate_stage_1,unconditional_n_simulations,50000,50000,1.0,0.0,1.0,1.0
NRG Esports,NRG,stage_1,participate_stage_2,unconditional_n_simulations,12464,50000,0.24928,0.0019346290683229176,0.24548812702608708,0.2530718729739129
NRG Esports,NRG,stage_1,participate_stage_3,unconditional_n_simulations,2043,50000,0.04086,0.000885329999491715,0.03912475320099624,0.04259524679900376
NRG Esports,NRG,stage_1,reach_playoffs,unconditional_n_simulations,188,50000,0.00376,0.00027371015326436103,0.003223528099601852,0.004296471900398147
