source_match_id,datetime,team1,team2,best_of,score1_match,score2_match,derived_winner,derived_loser,tournament_name,included_in_official_event,candidate_stage,candidate_round,record_group,reconciliation_status,reconciliation_reason,supporting_evidence,confidence,playoff_round_label
7301545,2026-06-02T13:30:00,Sinners Esports,FlyQuest,1,0,1,FlyQuest,Sinners Esports,IEM Cologne Major 2026,True,stage_1,1.0,0-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7301546,2026-06-02T13:30:00,M80,Lynn Vision Gaming,1,1,0,M80,Lynn Vision Gaming,IEM Cologne Major 2026,True,stage_1,1.0,0-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7301544,2026-06-02T14:50:00,MIBR,THUNDERdOWNUNDER,1,0,1,THUNDERdOWNUNDER,MIBR,IEM Cologne Major 2026,True,stage_1,1.0,0-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7301549,2026-06-02T15:00:00,B8 Esports,TYLOO,1,1,0,B8 Esports,TYLOO,IEM Cologne Major 2026,True,stage_1,1.0,0-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7301543,2026-06-02T15:50:00,Heroic,Sharks Esports,1,0,1,Sharks Esports,Heroic,IEM Cologne Major 2026,True,stage_1,1.0,0-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7301550,2026-06-02T16:05:00,GamerLegion,NRG Esports,1,1,0,GamerLegion,NRG Esports,IEM Cologne Major 2026,True,stage_1,1.0,0-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7301548,2026-06-02T17:00:00,BetBoom Team,Gaimin Gladiators,1,1,0,BetBoom Team,Gaimin Gladiators,IEM Cologne Major 2026,True,stage_1,1.0,0-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7301547,2026-06-02T17:25:00,BIG,Team Liquid,1,0,1,Team Liquid,BIG,IEM Cologne Major 2026,True,stage_1,1.0,0-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
10093590,2026-06-02T18:30:00,Heroic,Lynn Vision Gaming,1,0,1,Lynn Vision Gaming,Heroic,IEM Cologne Major 2026,True,stage_1,2.0,0-1,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302349,2026-06-02T18:35:00,B8 Esports,THUNDERdOWNUNDER,1,1,0,B8 Esports,THUNDERdOWNUNDER,IEM Cologne Major 2026,True,stage_1,2.0,1-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302347,2026-06-02T19:45:00,Sinners Esports,NRG Esports,1,0,1,NRG Esports,Sinners Esports,IEM Cologne Major 2026,True,stage_1,2.0,0-1,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
10093592,2026-06-02T19:45:00,MIBR,TYLOO,1,1,0,MIBR,TYLOO,IEM Cologne Major 2026,True,stage_1,2.0,0-1,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302346,2026-06-02T20:45:00,M80,Sharks Esports,1,1,0,M80,Sharks Esports,IEM Cologne Major 2026,True,stage_1,2.0,1-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302350,2026-06-02T21:10:00,GamerLegion,FlyQuest,1,1,0,GamerLegion,FlyQuest,IEM Cologne Major 2026,True,stage_1,2.0,1-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302344,2026-06-02T21:50:00,BIG,Gaimin Gladiators,1,1,0,BIG,Gaimin Gladiators,IEM Cologne Major 2026,True,stage_1,2.0,0-1,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302345,2026-06-02T22:25:00,BetBoom Team,Team Liquid,1,1,0,BetBoom Team,Team Liquid,IEM Cologne Major 2026,True,stage_1,2.0,1-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-02 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302378,2026-06-03T15:30:00,Sharks Esports,Lynn Vision Gaming,1,0,1,Lynn Vision Gaming,Sharks Esports,IEM Cologne Major 2026,True,stage_1,3.0,1-1,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-03 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302379,2026-06-03T15:30:00,NRG Esports,FlyQuest,1,1,0,NRG Esports,FlyQuest,IEM Cologne Major 2026,True,stage_1,3.0,1-1,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-03 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302376,2026-06-03T16:30:00,THUNDERdOWNUNDER,BIG,1,0,1,BIG,THUNDERdOWNUNDER,IEM Cologne Major 2026,True,stage_1,3.0,1-1,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-03 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302377,2026-06-03T16:30:00,Team Liquid,MIBR,1,0,1,MIBR,Team Liquid,IEM Cologne Major 2026,True,stage_1,3.0,1-1,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-03 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302374,2026-06-03T17:40:00,TYLOO,Sinners Esports,3,2,0,TYLOO,Sinners Esports,IEM Cologne Major 2026,True,stage_1,3.0,0-2,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-03 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302375,2026-06-03T17:50:00,GamerLegion,BetBoom Team,3,0,2,BetBoom Team,GamerLegion,IEM Cologne Major 2026,True,stage_1,3.0,2-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-03 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302372,2026-06-03T20:00:00,Gaimin Gladiators,Heroic,3,0,2,Heroic,Gaimin Gladiators,IEM Cologne Major 2026,True,stage_1,3.0,0-2,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-03 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
7302373,2026-06-03T20:00:00,M80,B8 Esports,3,0,2,B8 Esports,M80,IEM Cologne Major 2026,True,stage_1,3.0,2-0,official_tournament_match,both teams present in the frozen Phase 8B 32-team roster; datetime 2026-06-03 falls inside the stage_1 window independently corroborated by Liquipedia's raw per-round wikitext.,"Liquipedia raw wikitext (Stage_1/Stage_2/Stage_3/Playoffs, action=raw) team-pairing cross-check; see result source manifest.",high,
