feature,v1_coefficient,v2_coefficient,absolute_change,relative_change
elo_diff,0.2695351195409264,0.403277317941568,0.1337421984006416,0.4961958153298613
overall_win_rate_diff,0.0591392197003394,0.012350741597858495,-0.0467884781024809,-0.7911581914600808
win_rate_last_5_diff,0.0025792384350001,-0.023622039501338135,-0.026201277936338235,-10.158532681891126
win_rate_last_10_diff,0.0060678443628566,-0.04385517360319334,-0.04992301796604994,-8.227471731418527
format_win_rate_diff,0.0129410139386044,-0.0378363863220325,-0.0507774002606369,-3.9237574815650724
avg_series_margin_last_5_diff,0.0373181131134367,0.06959233453586793,0.03227422142243123,0.8648406559122258
avg_series_margin_last_10_diff,0.0451515787398127,0.07266335942266904,0.027511780682856334,0.6093204590119379
matches_last_30_days_diff,0.0215048985278618,0.0022349906975867575,-0.019269907830275042,-0.8960706234120984
days_since_last_match_diff,-0.0155528574995292,-0.013665318673472348,0.0018875388260568525,0.12136283162846377
total_matches_before_diff,0.1563326084617109,0.14943984947128464,-0.006892758990426268,-0.04409034722985798
history_matches_min,-3.982159820203704e-18,1.2643557758033421e-18,5.246515596007047e-18,
history_matches_sum,2.0260521869766544e-18,-2.468570066836046e-18,-4.4946222538127006e-18,
both_teams_have_history,-1.5146853739875634e-18,7.394890554657604e-18,8.909575928645168e-18,
both_teams_have_5_matches,2.1777161330207852e-18,-5.776784849069502e-19,-2.7553946179277354e-18,
both_teams_have_10_matches,6.614750378436897e-19,2.469480347103408e-18,1.8080053092597185e-18,
bestOf_BO3,-6.286748999882052e-19,-4.348449027891036e-18,-3.719774127902831e-18,
bestOf_BO5,2.5688269560559366e-20,1.8052051768097887e-19,1.548322481204195e-19,
tier_tier2,1.226050870169034e-18,-3.27420838757553e-18,-4.500259257744564e-18,
tier_tier3,1.2990900930233956e-20,-1.0756345297983858e-18,-1.0886254307286198e-18,
