lambda,fold,row_type,unique_fold_train_matches,augmented_fold_train_observations,fold_validation_matches,iterations_run,converged,converged_by,initial_cost,final_cost,relative_cost_decrease,final_relative_improvement,final_gradient_norm,train_accuracy,train_roc_auc,train_log_loss,train_brier,train_f1,val_accuracy,val_roc_auc,val_log_loss,val_brier,val_f1,train_val_acc_gap,train_val_auc_gap,train_val_log_loss_gap,coef_l2_norm,coef_abs_sum,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_f1_mean,train_accuracy_mean,train_roc_auc_mean,train_val_acc_gap_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,mean_iterations,median_iterations,all_folds_converged,n_folds_converged,mean_final_gradient_norm,mean_coef_l2_norm
0.0,1.0,fold,1323.0,2646.0,1325.0,20000.0,False,,0.6928768706559891,0.6741066690607496,0.02709024126821936,1.692308631757616e-06,0.0010669928370873856,0.5842781557067271,0.609596981965403,0.6741066690607497,0.24055950651895464,0.6283783783783784,0.5645283018867925,0.5900251658659346,0.6921522935420308,0.24808876549836034,0.6114478114478115,0.01974985381993466,0.019571816099468453,0.01804562448128111,0.4187370796248229,1.182837633081446,,,,,,,,,,,,,,,,,,,
0.0,2.0,fold,2648.0,5296.0,1323.0,20000.0,False,,0.692744614174389,0.6719536180233056,0.030012497716582223,8.604108308186118e-07,0.0007592979413078854,0.5789274924471299,0.6115500412900857,0.6719536180233056,0.2395819847283052,0.6216491347132678,0.6024187452758881,0.6253989762119844,0.6630341713606261,0.23522988701226988,0.6653944020356234,-0.02349125282875819,-0.013848934921898648,-0.008919446662679409,0.4374701755613176,1.066050951959848,,,,,,,,,,,,,,,,,,,
0.0,3.0,fold,3971.0,7942.0,1323.0,20000.0,False,,0.6927070393257627,0.6678918616626914,0.03582348129048149,1.03691305351922e-06,0.0008309965001100953,0.5877612692017125,0.6189921977357433,0.6678918616626914,0.23765769643505444,0.63694832557108,0.6024187452758881,0.6255428769017981,0.6682149698170609,0.23745085968203553,0.6597671410090556,-0.014657476074175668,-0.006550679166054785,0.00032310815436942253,0.48251878169204354,1.0694021005883811,,,,,,,,,,,,,,,,,,,
0.0,4.0,fold,5294.0,10588.0,1325.0,11800.0,True,relative_cost_plateau,0.6927036692252633,0.6663101856308644,0.03810212760085128,9.58540317382317e-08,0.00025162674821590137,0.5927465054778995,0.6210019112889757,0.6663101856308644,0.23699253963702988,0.6424543946932006,0.6075471698113207,0.6354110457742419,0.661456012033278,0.23451446360265849,0.6578947368421053,-0.014800664333421198,-0.01440913448526615,-0.004854173597586442,0.4580676727320396,0.9201931449495775,,,,,,,,,,,,,,,,,,,
0.001,1.0,fold,1323.0,2646.0,1325.0,20000.0,False,,0.6928768706565027,0.6741067121153217,0.027090179130090243,1.6920532253558463e-06,0.0010669121486858316,0.5842781557067271,0.609596981965403,0.6741066789832123,0.24055951115256136,0.6283783783783784,0.5645283018867925,0.5900251658659346,0.6921521981590206,0.24808872532668674,0.6114478114478115,0.01974985381993466,0.019571816099468453,0.018045519175808322,0.41873037008914626,1.1828180952131602,,,,,,,,,,,,,,,,,,,
0.001,2.0,fold,2648.0,5296.0,1323.0,20000.0,False,,0.6927446141747715,0.6719536387922076,0.030012467736513632,8.603459289676942e-07,0.0007592692429181772,0.5789274924471299,0.6115500412900857,0.671953620724083,0.23958198625919935,0.6216491347132678,0.6024187452758881,0.6253989762119844,0.6630341601416692,0.23522988335507472,0.6653944020356234,-0.02349125282875819,-0.013848934921898648,-0.008919460582413885,0.4374672281762732,1.0660414227152142,,,,,,,,,,,,,,,,,,,
0.001,3.0,fold,3971.0,7942.0,1323.0,20000.0,False,,0.6927070393260415,0.6678918784528786,0.03582345705235861,1.036860881684002e-06,0.0008309755518548435,0.5877612692017125,0.6189921977357433,0.6678918637951992,0.23765769758515198,0.63694832557108,0.6024187452758881,0.625540571692024,0.6682149478075101,0.2374508506795101,0.6597671410090556,-0.014657476074175668,-0.0065483739562807175,0.00032308401231095907,0.48251692403456886,1.0693977308762066,,,,,,,,,,,,,,,,,,,
0.001,4.0,fold,5294.0,10588.0,1325.0,11800.0,True,relative_cost_plateau,0.6927036692254739,0.6663101956292147,0.03810211316733791,9.585190303022871e-08,0.0002516239444570224,0.5927465054778995,0.6210019112889757,0.6663101857205685,0.2369925396756594,0.6424543946932006,0.6075471698113207,0.6354110457742419,0.6614560024809135,0.23451446002542983,0.6578947368421053,-0.014800664333421198,-0.01440913448526615,-0.00485418323965503,0.4580671241366695,0.920191517151155,,,,,,,,,,,,,,,,,,,
0.01,1.0,fold,1323.0,2646.0,1325.0,20000.0,False,,0.6928768706611251,0.6741070995032546,0.027089620035895927,1.6897562999090642e-06,0.001066186227620286,0.5842781557067271,0.6095992822966507,0.6741067682776859,0.24055955285187755,0.6283783783783784,0.5645283018867925,0.5900274536719287,0.6921513397925458,0.2480883638217075,0.6114478114478115,0.01974985381993466,0.019571828624722065,0.01804457151485994,0.4186700025053886,1.1826422954956548,,,,,,,,,,,,,,,,,,,
0.01,2.0,fold,2648.0,5296.0,1323.0,20000.0,False,,0.6927446141782134,0.6719538256938917,0.0300121979425063,8.597620329204371e-07,0.0007590110062287714,0.5789274924471299,0.611549467816672,0.6719536450345542,0.23958200003875377,0.6216491347132678,0.6024187452758881,0.6253943436870266,0.6630340591893348,0.23522985044767195,0.6653944020356234,-0.02349125282875819,-0.013844875870354656,-0.008919585845219458,0.43744070489181586,1.0659556685118812,,,,,,,,,,,,,,,,,,,
0.01,3.0,fold,3971.0,7942.0,1323.0,20000.0,False,,0.6927070393285505,0.6678920295555372,0.03582323892228209,1.0363914509932334e-06,0.0008307870413238075,0.5877612692017125,0.6189927089238622,0.6678918829888983,0.2376577079365552,0.63694832557108,0.6024187452758881,0.625540571692024,0.6682147497337526,0.2374507696622029,0.6597671410090556,-0.014657476074175668,-0.006547862768161883,0.0003228667448542666,0.4825002065152243,1.0693584057975933,,,,,,,,,,,,,,,,,,,
0.01,4.0,fold,5294.0,10588.0,1325.0,11800.0,True,relative_cost_plateau,0.6927036692273699,0.6663102856132308,0.03810198326735855,9.58327481603121e-08,0.00025159871203364766,0.5927465054778995,0.6210013359028161,0.6663101865289056,0.23699254002377806,0.6424543946932006,0.6075471698113207,0.6354110457742419,0.6614559165126085,0.23451442783149645,0.6578947368421053,-0.014800664333421198,-0.014409709871425758,-0.004854270016297124,0.458062186877256,0.920176867247265,,,,,,,,,,,,,,,,,,,
0.1,1.0,fold,1323.0,2646.0,1325.0,20000.0,False,,0.6928768707073497,0.6741109631993477,0.027084043790990036,1.6669578747946623e-06,0.001058954128851835,0.5842781557067271,0.6096084836216416,0.6741076604601237,0.24055996953333242,0.6283783783783784,0.5645283018867925,0.5900388927018989,0.6921427640929539,0.2480847527322027,0.6114478114478115,0.01974985381993466,0.01956959091974264,0.01803510363283023,0.4180681281075027,1.1808883594289565,,,,,,,,,,,,,,,,,,,
0.1,2.0,fold,2648.0,5296.0,1323.0,20000.0,False,,0.6927446142126331,0.6719556928883681,0.030009502633078583,8.539448274288312e-07,0.0007564334662298927,0.5789274924471299,0.6115586433912923,0.6719538884825107,0.23958213798319686,0.6216491347132678,0.6024187452758881,0.6253897111620689,0.6630330514736813,0.23522952210084228,0.6653944020356234,-0.02349125282875819,-0.013831067770776584,-0.008920837008829396,0.43717578662857326,1.0650990165435177,,,,,,,,,,,,,,,,,,,
0.1,3.0,fold,3971.0,7942.0,1323.0,20000.0,False,,0.6927070393536403,0.6678935396892867,0.03582105891042616,1.0317088219503635e-06,0.0008289042868887277,0.5877612692017125,0.6189955204585154,0.6678920750375207,0.23765781150251988,0.63694832557108,0.6024187452758881,0.6255428769017981,0.6682127702032112,0.23744996002554797,0.6597671410090556,-0.014657476074175668,-0.006547356443282748,0.00032069516569055434,0.48233316961096473,1.068965385649434,,,,,,,,,,,,,,,,,,,
