baseline,kind,fold,row_type,n,accuracy,precision,recall,f1,roc_auc,log_loss,brier,n_series,series_macro_log_loss,series_macro_brier,series_macro_accuracy
0.5 constant,half,1.0,fold,1544,0.5278497409326425,0.5278497409326425,1.0,0.6909707503179313,0.5,0.6931471805599451,0.25,,,,
overall ELO,overall_elo,1.0,fold,1544,0.5893782383419689,0.6048667439165701,0.6404907975460122,0.6221692491060786,0.6112146229392309,0.6738958836836294,0.2405652703013779,,,,
map ELO,map_elo,1.0,fold,1544,0.5207253886010362,0.5457875457875457,0.5484662576687117,0.5471236230110159,0.5334654581871123,0.694505108830248,0.2505973651353512,,,,
0.5 constant,half,2.0,fold,1780,0.5331460674157303,0.5331460674157303,1.0,0.6954928545254672,0.5,0.6931471805599454,0.25,,,,
overall ELO,overall_elo,2.0,fold,1780,0.5533707865168539,0.5765407554671969,0.6111696522655427,0.5933503836317136,0.5772153600154194,0.6863913309034426,0.24653255695667214,,,,
map ELO,map_elo,2.0,fold,1780,0.5398876404494382,0.5681341719077568,0.571127502634352,0.5696269048870205,0.555230092097705,0.6909665366984281,0.24874449102811472,,,,
0.5 constant,half,3.0,fold,1609,0.5257924176507147,0.5257924176507147,1.0,0.6892057026476578,0.5,0.6931471805599452,0.25,,,,
overall ELO,overall_elo,3.0,fold,1609,0.5854568054692355,0.592173017507724,0.6796690307328606,0.6329113924050633,0.6196982794679458,0.6710294363307058,0.23918834771986247,,,,
map ELO,map_elo,3.0,fold,1609,0.5605966438781852,0.5783540022547914,0.6063829787234043,0.5920369301788806,0.5845471248555378,0.6822457289638814,0.24453741403116838,,,,
0.5 constant,half,4.0,fold,1608,0.5385572139303483,0.5385572139303483,1.0,0.7000808407437349,0.5,0.6931471805599452,0.25,,,,
overall ELO,overall_elo,4.0,fold,1608,0.5914179104477612,0.6050251256281407,0.6951501154734411,0.646963997850618,0.6233519356585722,0.6702956083846199,0.2384173583441468,,,,
map ELO,map_elo,4.0,fold,1608,0.5534825870646766,0.5831460674157304,0.5993071593533488,0.591116173120729,0.5839151099020812,0.6808470243299153,0.24402420528950905,,,,
0.5 constant,half,,pooled_oof,6541,0.5314172144931968,0.5314172144931968,1.0,0.694020165718279,0.5,0.6931471805599453,0.25,3115.0,0.6931471805599452,0.25,0.5376993044408775
0.5 constant,half,,fold_mean,6541,0.531336359982359,,,,0.5,0.6931471805599452,0.25,,,,
overall ELO,overall_elo,,pooled_oof,6541,0.5791163430668094,0.5942633637548892,0.655638665132336,0.623444125290658,0.607679083982076,0.6757060869521826,0.2413224113173598,3115.0,0.6690057967435997,0.23826834028507912,0.5881219903691813
overall ELO,overall_elo,,fold_mean,6541,0.5799059351939548,,,,0.607870049520292,0.6754030648255994,0.24117588333051485,,,,
map ELO,map_elo,,pooled_oof,6541,0.5438006421036539,0.5692957746478873,0.5814154200230149,0.5752917734130373,0.5649200671300946,0.6871688910537371,0.24698656888559956,3115.0,0.6860661310955827,0.2464766920851434,0.5465757089352594
map ELO,map_elo,,fold_mean,6541,0.5436730649983341,,,,0.5642894462606091,0.6871410997056182,0.24697586887103584,,,,
