fold,model,n,accuracy,precision,recall,f1,roc_auc,log_loss,brier,arm,row_type,delta_log_loss,delta_brier,delta_roc_auc,delta_accuracy,delta_f1
1.0,random_forest,1544.0,0.5926165803108808,0.604494382022472,0.660122699386503,0.6310850439882698,0.6193979482777483,0.6699061043454829,0.23861362304125916,v2,,,,,,
1.0,xgboost,1544.0,0.5809585492227979,0.5935412026726058,0.6539877300613497,0.6223000583771162,0.6148964460939013,0.6721318274469306,0.23964692652225494,v2,,,,,,
2.0,random_forest,1780.0,0.5775280898876405,0.5917986952469712,0.6691253951527925,0.6280909990108803,0.5973974758406784,0.6755924034504859,0.24141924020460515,v2,,,,,,
2.0,xgboost,1780.0,0.5786516853932584,0.5927306616961789,0.6701791359325606,0.629080118694362,0.5916595973467542,0.6780729291446405,0.24256590008735657,v2,,,,,,
3.0,random_forest,1609.0,0.5786202610316967,0.5833333333333334,0.6950354609929078,0.6343042071197411,0.6279880030612024,0.6657370684413463,0.23669196845923157,v2,,,,,,
3.0,xgboost,1609.0,0.5860783095090119,0.5889328063241107,0.7044917257683215,0.6415500538213132,0.6275976068090064,0.6665549440569457,0.23702508211135864,v2,,,,,,
4.0,random_forest,1608.0,0.585820895522388,0.6014198782961461,0.684757505773672,0.6403887688984882,0.6281264978866181,0.6610357044567025,0.23473732997090024,v2,,,,,,
4.0,xgboost,1608.0,0.5920398009950248,0.6075819672131147,0.684757505773672,0.6438653637350705,0.6338379201085637,0.6605478395344445,0.23427699506282806,v2,,,,,,
1.0,random_forest,1544.0,0.5887305699481865,0.6002227171492205,0.6613496932515337,0.6293053123175715,0.6209767140464708,0.6697985700208279,0.23851430016383954,v3,,,,,,
1.0,xgboost,1544.0,0.591321243523316,0.6010989010989011,0.6711656441717792,0.6342028985507246,0.6198582813670293,0.6708267752996548,0.23899659514427185,v3,,,,,,
2.0,random_forest,1780.0,0.5786516853932584,0.5923862581244197,0.672286617492097,0.629812438302073,0.5931508117354514,0.6764791955170694,0.24185658112065536,v3,,,,,,
2.0,xgboost,1780.0,0.5786516853932584,0.5920444033302498,0.6743940990516333,0.6305418719211823,0.5932173838063755,0.6771719559429012,0.24213208258152008,v3,,,,,,
3.0,random_forest,1609.0,0.5885643256681169,0.5934959349593496,0.6903073286052009,0.6382513661202186,0.6278749120833838,0.6651591144072487,0.23644332116886133,v3,,,,,,
3.0,xgboost,1609.0,0.5885643256681169,0.5925553319919518,0.6962174940898345,0.6402173913043478,0.6254635955494827,0.6666287152164637,0.2370789796113968,v3,,,,,,
4.0,random_forest,1608.0,0.5907960199004975,0.6042084168336673,0.6963048498845266,0.6469957081545065,0.6307635564574865,0.6603218541762806,0.2343253667451297,v3,,,,,,
4.0,xgboost,1608.0,0.5945273631840796,0.6067864271457086,0.7020785219399538,0.6509635974304069,0.6366780687611662,0.6597370882111752,0.23385676741600037,v3,,,,,,
,random_forest,,,,,,,,,,mean_fold_delta,-0.00012813664314773043,-8.064811937755212e-05,-3.5982685863689134e-05,0.0030391935393632996,0.002623951469247543
,xgboost,,,,,,,,,,mean_fold_delta,-0.0007357513781915681,-0.0003626197576522827,0.0018064397814570032,0.003834068162169496,0.00478254114469992
