model,population,n,accuracy,precision,recall,f1,roc_auc,log_loss,brier,majority_class_accuracy,confusion_matrix,n_series,series_macro_log_loss,series_macro_brier,series_macro_accuracy
random_forest,pooled_train_oof,6541,0.5833970340926464,0.5948951225676017,0.6772151898734177,0.633391631911745,0.6178526911170891,0.6682473412535994,0.2379514883632491,0.5314172144931968,"[[1462, 1603], [1122, 2354]]",3115.0,0.6632435947896663,0.23555725762737661,0.5920973782771535
random_forest,fold_1,1544,0.5926165803108808,0.604494382022472,0.660122699386503,0.6310850439882698,0.6193979482777483,0.6699061043454829,0.23861362304125916,,,,,,
random_forest,fold_2,1780,0.5775280898876405,0.5917986952469712,0.6691253951527925,0.6280909990108803,0.5973974758406784,0.6755924034504859,0.24141924020460515,,,,,,
random_forest,fold_3,1609,0.5786202610316967,0.5833333333333334,0.6950354609929078,0.6343042071197411,0.6279880030612024,0.6657370684413461,0.23669196845923154,,,,,,
random_forest,fold_4,1608,0.585820895522388,0.6014198782961461,0.684757505773672,0.6403887688984882,0.6281264978866181,0.6610357044567025,0.23473732997090024,,,,,,
xgboost,pooled_train_oof,6541,0.5843143250267543,0.5956049507451376,0.6783659378596087,0.6342972427706792,0.6164489381393176,0.6695289996047291,0.2384762167930603,0.5314172144931968,"[[1464, 1601], [1118, 2358]]",3115.0,0.6644987847648782,0.23603781207585717,0.5967522739432851
xgboost,fold_1,1544,0.5809585492227979,0.5935412026726058,0.6539877300613497,0.6223000583771162,0.6148964460939013,0.6721318274469306,0.23964692652225494,,,,,,
xgboost,fold_2,1780,0.5786516853932584,0.5927306616961789,0.6701791359325606,0.629080118694362,0.5916595973467542,0.6780729291446405,0.24256590008735657,,,,,,
xgboost,fold_3,1609,0.5860783095090119,0.5889328063241107,0.7044917257683215,0.6415500538213132,0.6275976068090064,0.6665549440569457,0.23702508211135864,,,,,,
xgboost,fold_4,1608,0.5920398009950248,0.6075819672131147,0.684757505773672,0.6438653637350705,0.6338379201085637,0.6605478395344445,0.23427699506282806,,,,,,
ensemble,pooled_train_oof,6541,0.584620088671457,0.596100278551532,0.6772151898734177,0.6340740740740741,0.6184421444085475,0.6683018764697555,0.23794180074612856,0.5314172144931968,"[[1470, 1595], [1122, 2354]]",3115.0,0.6632998506563603,0.235531115717491,0.5961637239165329
ensemble,fold_1,1544,0.582901554404145,0.5955307262569832,0.6539877300613497,0.623391812865497,0.61888459693504,0.6703660822613732,0.23881021599903432,,,,,,
ensemble,fold_2,1780,0.5825842696629213,0.5960820895522388,0.6733403582718651,0.632360217714003,0.5961281683550612,0.6762410647325332,0.24171247807693136,,,,,,
ensemble,fold_3,1609,0.5835922933499068,0.5876494023904383,0.6973995271867612,0.6378378378378379,0.6291096176905273,0.6656218150198873,0.23660659104029938,,,,,,
ensemble,fold_4,1608,0.5895522388059702,0.6053169734151329,0.6836027713625866,0.6420824295010846,0.6310864774686729,0.6602131513595785,0.2342699808564293,,,,,,
