candidate_id,fold,row_type,max_depth,min_samples_leaf,min_samples_split,max_features,criterion,n_estimators,bootstrap,n_train_unique,n_train_augmented,n_val,train_accuracy,train_roc_auc,train_log_loss,train_brier,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_log_loss,val_brier,train_val_auc_gap,train_val_log_loss_gap,fit_seconds,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_recall_mean,val_f1_mean,train_log_loss_mean,train_roc_auc_mean,train_accuracy_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,mean_fit_seconds
anchor_series_rf_v2_structure,1.0,fold,8.0,20,10,sqrt,gini,400,True,1221.0,2442.0,1544.0,0.7289107289107289,0.824753863998058,0.5986431094505339,0.203950338458663,0.5854922279792746,0.5971143174250833,0.660122699386503,0.627039627039627,0.6144108662172738,0.6723294541555132,0.2397436148907315,0.21034299778078414,0.07368634470497926,0.5259330000008049,,,,,,,,,,,,,,,,,
anchor_series_rf_v2_structure,2.0,fold,8.0,20,10,sqrt,gini,400,True,2765.0,5530.0,1780.0,0.7009041591320072,0.7921513933758833,0.6074106290287954,0.20846029483863524,0.5758426966292135,0.5893186003683242,0.6743940990516333,0.628992628992629,0.5949495256898452,0.6770088787279918,0.24208159143186694,0.1972018676860381,0.06959824969919637,0.6698845999999321,,,,,,,,,,,,,,,,,
anchor_series_rf_v2_structure,3.0,fold,8.0,20,10,sqrt,gini,400,True,4545.0,9090.0,1609.0,0.6932893289328933,0.7673869495842143,0.6201515271908379,0.2145811053731721,0.5786202610316967,0.5848484848484848,0.6843971631205674,0.630718954248366,0.6229221469315164,0.6672061774655443,0.237393047853328,0.1444648026526979,0.047054650274706455,0.8192130000024918,,,,,,,,,,,,,,,,,
anchor_series_rf_v2_structure,4.0,fold,8.0,20,10,sqrt,gini,400,True,6154.0,12308.0,1608.0,0.6763080922976925,0.7481143822186602,0.6243047393000432,0.2168055468400313,0.5876865671641791,0.6024217961654894,0.6893764434180139,0.6429725363489499,0.6277662269753428,0.6613986412868862,0.2348697776818245,0.12034815524331743,0.037093901986843036,0.9510002999995777,,,,,,,,,,,,,,,,,
anchor_shallow_high_regularization,1.0,fold,5.0,80,40,sqrt,gini,400,True,1221.0,2442.0,1544.0,0.6257166257166257,0.6827286704609824,0.6559203754787261,0.23164510433269175,0.586139896373057,0.6,0.6478527607361964,0.6230088495575221,0.6161158659227279,0.6732121950396356,0.24015288867091017,0.06661280453825447,0.017291819560909527,0.4879027999995742,,,,,,,,,,,,,,,,,
anchor_shallow_high_regularization,2.0,fold,5.0,80,40,sqrt,gini,400,True,2765.0,5530.0,1780.0,0.6177215189873417,0.6697423370892759,0.6552107452765064,0.23143265668750512,0.5679775280898877,0.5855513307984791,0.649104320337197,0.6156921539230384,0.5896605331598654,0.6782018820828002,0.24266278686172282,0.08008180392941044,0.022991136806293833,0.6490336999995634,,,,,,,,,,,,,,,,,
anchor_shallow_high_regularization,3.0,fold,5.0,80,40,sqrt,gini,400,True,4545.0,9090.0,1609.0,0.6099009900990099,0.6536941786896384,0.6609384192481726,0.23421840488962695,0.5854568054692355,0.5908629441624366,0.6879432624113475,0.6357181867831786,0.6282908699949497,0.6675170661209008,0.23746336947291463,0.025403308694688764,0.006578646872728133,0.7631097999983467,,,,,,,,,,,,,,,,,
anchor_shallow_high_regularization,4.0,fold,5.0,80,40,sqrt,gini,400,True,6154.0,12308.0,1608.0,0.601559961000975,0.6472002107587687,0.6607423834288985,0.2342242324687896,0.5845771144278606,0.5997983870967742,0.687066974595843,0.6404736275565124,0.6254443081864756,0.6633864459300148,0.23565203544953517,0.021755902572293095,0.002644062501116373,0.8422482999994827,,,,,,,,,,,,,,,,,
anchor_moderate_depth8_leaf10,1.0,fold,8.0,10,20,sqrt,gini,400,True,1221.0,2442.0,1544.0,0.7936117936117936,0.8785935856283548,0.5699128429784566,0.1902272354331502,0.5867875647668394,0.5997745208568207,0.652760736196319,0.6251468860164512,0.6126452742221885,0.6726008341075383,0.23988678314245854,0.26594831140616626,0.10268799112908178,0.524847900000168,,,,,,,,,,,,,,,,,
anchor_moderate_depth8_leaf10,2.0,fold,8.0,10,20,sqrt,gini,400,True,2765.0,5530.0,1780.0,0.7341772151898734,0.8312176608094977,0.5902878710169157,0.20026358759771848,0.5752808988764045,0.5892691951896393,0.6712328767123288,0.6275862068965518,0.5975540787122806,0.6759202473178554,0.24156083258386055,0.23366358209721705,0.08563237630093967,0.6796314999992319,,,,,,,,,,,,,,,,,
anchor_moderate_depth8_leaf10,3.0,fold,8.0,10,20,sqrt,gini,400,True,4545.0,9090.0,1609.0,0.7130913091309131,0.7944878795456322,0.609721162131623,0.20958376907822227,0.5823492852703542,0.5877016129032258,0.6891252955082743,0.6343852013057671,0.6232536739075876,0.6667516970214737,0.23717293591926333,0.1712342056380446,0.05703053488985077,0.8099741999976686,,,,,,,,,,,,,,,,,
anchor_moderate_depth8_leaf10,4.0,fold,8.0,10,20,sqrt,gini,400,True,6154.0,12308.0,1608.0,0.6909327266818329,0.7687589351169377,0.6161706439160411,0.21295750583150383,0.5876865671641791,0.6024217961654894,0.6893764434180139,0.6429725363489499,0.627793461277491,0.6615122471890129,0.23489725870600595,0.1409654738394467,0.045341603272971764,0.9677730000003066,,,,,,,,,,,,,,,,,
anchor_moderate_depth10_leaf20,1.0,fold,10.0,20,20,sqrt,gini,400,True,1221.0,2442.0,1544.0,0.7518427518427518,0.8521565559841395,0.5844786316003047,0.19717567256468457,0.5867875647668394,0.5982241953385128,0.6613496932515337,0.6282051282051282,0.6160956684928509,0.6717504023680553,0.23946119319005493,0.23606088749128862,0.08727177076775061,0.570592599997326,,,,,,,,,,,,,,,,,
anchor_moderate_depth10_leaf20,2.0,fold,10.0,20,20,sqrt,gini,400,True,2765.0,5530.0,1780.0,0.7403254972875226,0.8355427730937934,0.5857874717460682,0.1981462108841824,0.5820224719101124,0.593607305936073,0.684931506849315,0.6360078277886497,0.5946394900452564,0.6771771452512629,0.24217761883367228,0.24090328304853703,0.09138967350519478,0.6830764000005729,,,,,,,,,,,,,,,,,
anchor_moderate_depth10_leaf20,3.0,fold,10.0,20,20,sqrt,gini,400,True,4545.0,9090.0,1609.0,0.7350935093509351,0.819925122414003,0.5978118832347135,0.2038461918858281,0.5755127408328155,0.5812562313060817,0.6891252955082743,0.6306111411573824,0.6206882128217284,0.6667446633531667,0.23720221221819598,0.19923690959227458,0.06893278011845327,0.8369583999992756,,,,,,,,,,,,,,,,,
anchor_moderate_depth10_leaf20,4.0,fold,10.0,20,20,sqrt,gini,400,True,6154.0,12308.0,1608.0,0.7170945726356841,0.8052585266923118,0.6008421261517818,0.20557138731055766,0.5889303482587065,0.6042726347914548,0.6859122401847575,0.6425094645754462,0.6259609818043737,0.6624339839315548,0.2353552080025506,0.17929754488793814,0.06159185777977305,1.0176396999995632,,,,,,,,,,,,,,,,,
anchor_leaf40_conservative,1.0,fold,,40,40,sqrt,gini,400,True,1221.0,2442.0,1544.0,0.687960687960688,0.772230464219243,0.6239436937254174,0.21610373188070314,0.5939119170984456,0.6053811659192825,0.6625766871165644,0.632688927943761,0.6158230031895107,0.6723765446665392,0.23974558957581737,0.15640746102973235,0.04843285094112182,0.5002816000014718,,,,,,,,,,,,,,,,,
anchor_leaf40_conservative,2.0,fold,,40,40,sqrt,gini,400,True,2765.0,5530.0,1780.0,0.694755877034358,0.77749796443674,0.6133143310174881,0.2112580311009333,0.5702247191011236,0.5850277264325323,0.667017913593256,0.6233382570162481,0.5938006819516142,0.6767673232547154,0.2419977713640072,0.18369728248512585,0.06345299223722733,0.6804378000015276,,,,,,,,,,,,,,,,,
anchor_leaf40_conservative,3.0,fold,,40,40,sqrt,gini,400,True,4545.0,9090.0,1609.0,0.7045104510451045,0.7874659183315529,0.6110541816583185,0.21014947778397566,0.579241765071473,0.5834155972359328,0.6985815602836879,0.6358257127487896,0.6241336146665055,0.6661868756646906,0.23692010086689133,0.16333230366504736,0.05513269400637211,0.8932733999972697,,,,,,,,,,,,,,,,,
anchor_leaf40_conservative,4.0,fold,,40,40,sqrt,gini,400,True,6154.0,12308.0,1608.0,0.7102697432564186,0.7889777828665206,0.6081468915803514,0.20891715682219503,0.5851990049751243,0.5992023928215354,0.6939953810623557,0.6431246655965757,0.629787790317661,0.6612600430940472,0.23473998748740213,0.15918999254885968,0.05311315151369578,1.003848200001812,,,,,,,,,,,,,,,,,
anchor_deeper_but_regularized,1.0,fold,12.0,40,40,sqrt,gini,400,True,1221.0,2442.0,1544.0,0.6895986895986896,0.7721765166023791,0.6239486312102721,0.21610631841881656,0.5952072538860104,0.6065022421524664,0.6638036809815951,0.6338605741066198,0.6157388472316898,0.6723570366867995,0.23973648488448343,0.15643766937068926,0.04840840547652736,0.513897700002417,,,,,,,,,,,,,,,,,
