feature,family,impurity_importance_mean,permutation_importance_mean,permutation_importance_std,rank_permutation
avg_opponent_elo_last_10_diff,E,0.032776477003418354,0.003932928964755234,0.0015995248818408197,1
map_pool_total_matches_diff,B,0.024601722661364723,0.00262979118502088,0.000724793514902774,2
avg_opponent_elo_last_5_diff,E,0.02742192422203833,0.0018554916622675831,0.003069085413057524,3
roster_mean_kast_diff,H,0.025813741515538977,0.001825271510085763,0.0014671063329770397,4
elo_diff,A,0.037195188692232,0.0016917599226594692,0.0026332580310813153,5
total_matches_before_diff,A,0.018522355621741763,0.001289977141634413,0.0008441008493159742,6
map_pool_best_elo_diff,B,0.03004165753493768,0.0012309761728664548,0.001597703207435557,7
map_matches_before_diff,K,0.015290591197795857,0.0011980376861229214,0.0010604430689699395,8
performance_residual_all_diff,E,0.02610676638157785,0.0011138911286918073,0.0022635229489036345,9
map_pool_experienced_maps_diff,B,0.011804661123577767,0.0009452816510243211,0.0006140766465886383,10
roster_top_kast_diff,H,0.017255913132217728,0.0008632882487093596,0.0010068750703737129,11
days_since_map_played_diff,K,0.014056528526210428,0.0008057232454227238,0.0008561576621671364,12
roster_mean_player_history_mass_diff,J,0.018827175998378937,0.000728218146532561,0.0008140569643498042,13
map_elo_diff,K,0.0180992874042638,0.0006935170826593284,0.00021732458253881796,14
map_pool_total_matches_min,D,0.007313729557720674,0.00044161038125747345,0.00016049562851801647,15
map_matchup_median_smoothed_wr_advantage,C,0.011809399707536295,0.0004210533308015796,0.0001262376148866817,16
recent_unique_players_20_maps_diff,I,0.005626492686191163,0.00037364640964318574,0.0004238809335137662,17
map_pool_mean_elo_diff,B,0.018839503515625317,0.00035383322484213163,0.0011571321775000112,18
map_matches_before_min,K,0.005650272368747095,0.0003424251768440634,0.0003893923918885645,19
map_pool_worst_elo_diff,B,0.011027824699568395,0.0003269300639741568,0.000414262860005227,20
roster_bottom_kast_diff,H,0.016687924335805376,0.0003234312523326399,0.0007682932318094386,21
history_matches_sum,A,0.009749077437180164,0.000309307028944672,0.000522090342758,22
history_matches_min,A,0.007675634802439758,0.00029036936838387485,0.0003821143491519188,23
roster_mean_kd_balance_diff,H,0.016565735724164247,0.00027856804276801264,0.00040148257017364125,24
recent_unique_players_10_maps_diff,I,0.003926565672962581,0.0002646059309163784,0.000467832920092681,25
performance_residual_last_10_diff,E,0.010751977136283182,0.0002602044860619213,0.0004565971475606901,26
roster_min_player_history_mass,J,0.008536033233562997,0.00021990442891478557,0.00036764946008153423,27
map_pool_size_diff,B,0.006019296365275106,0.00019421895304167492,0.0002289944596072223,28
roster_top_kd_balance_diff,H,0.014984809438073933,0.00017880735170300866,0.0007079068910654975,29
core5_appearance_concentration_90d_diff,I,0.007976913347041927,0.0001756751588000982,0.00042881756483842344,30
days_since_last_match_diff,A,0.014009555466825252,0.00016615245073948738,0.00027064728009786087,31
win_rate_last_5_diff,A,0.004043380630974519,0.00012707847871979984,0.00010600487286698442,32
map_pool_worst_smoothed_wr_diff,B,0.0084051479550603,0.000120560960895294,0.00041636838845833345,33
map_normalized_margin_last_5_diff,K,0.011568783102861092,0.00011717745190688024,0.000339059370556606,34
roster_core_concentration_min,J,0.005592103294356316,0.0001121052234319464,0.0003642023175233016,35
map_pool_third_best_smoothed_wr_diff,B,0.009609134930847462,0.00010820802525051687,0.0002113412554084622,36
format_win_rate_diff,A,0.013413350270158032,0.00010816374958596552,0.00017106196078689966,37
map_matchup_mean_elo_advantage,C,0.018797790406638173,9.660117544063034e-05,0.0008799637789673035,38
map_matches_before_sum,K,0.007969993517676868,8.222268640366572e-05,0.0003897796949882448,39
map_matchup_shared_coverage,D,0.00400667373579529,7.523410211200398e-05,0.00010882924669563236,40
map_pool_mean_normalized_margin_diff,B,0.01287687804946121,6.775909334044705e-05,0.00030303234226331286,41
time_weighted_history_mass_min,G,0.010901208930586052,6.681188225151069e-05,0.00025321632683023064,42
map_win_rate_last_10_diff,K,0.007941773266231363,6.542837854696115e-05,0.0003551367719911474,43
map_matchup_midrange_elo_advantage,C,0.015312452515805874,5.1290968672762505e-05,8.762584376279196e-05,44
bestOf_BO3,L,0.0009373010395480781,4.824547177176286e-05,6.450197158827007e-05,45
map_pool_second_best_smoothed_wr_diff,B,0.01014278902027288,4.788422054824436e-05,0.00030918463092573337,46
roster_mean_assists_per_round_diff,H,0.012974031044414289,4.2615715889915434e-05,0.0004818415530597495,47
overall_win_rate_diff,A,0.01802303394513355,4.219182410821753e-05,0.0005861092335626813,48
map_matchup_mean_smoothed_wr_advantage,C,0.012358005791882063,3.363458752633776e-05,0.00042088571322250836,49
both_teams_have_5_map_matches,K,0.0005879497649044614,3.275647845444873e-05,6.330020352222444e-05,50
map_name_Anubis,L,0.0010023264482849146,2.8525293104736393e-05,3.316272796847143e-05,51
tier_tier2,L,0.001853787824274962,2.7325046546955445e-05,0.00016460684604689287,52
map_pool_third_best_elo_diff,B,0.013162173478323595,2.563539879130161e-05,0.0004774403545271806,53
both_teams_have_10_matches,A,0.0002705075270752558,2.3103442964717003e-05,4.074934659598456e-05,54
both_teams_have_10_map_matches,K,0.0002958813221557861,1.8443317480432154e-05,2.9022708045974076e-05,55
both_teams_have_10_adjusted_matches,G,0.0003726303269759356,1.8371178814990952e-05,3.7183205363829986e-05,56
both_teams_have_5_adjusted_matches,G,0.00032010183991746223,1.6946560140596033e-05,3.393999618400541e-05,57
both_teams_have_5_matches,A,0.0003628334751563649,1.6422606147703522e-05,2.023675074561224e-05,58
both_teams_have_3_recent_maps,D,0.000338037458835833,1.5189869910747777e-05,1.2321433253982386e-05,59
tier_tier3,L,0.0002816721782933837,1.4137739911418424e-05,3.57283376172746e-05,60
