feature,impurity_importance_mean,permutation_importance_mean
avg_opponent_elo_last_10_diff,0.02557192347911713,0.0024251030278675647
map_pool_total_matches_diff,0.020381046777335314,0.0017985287384816556
time_weighted_map_opponent_elo_diff,0.022452011644308077,0.0016557655511590553
elo_diff,0.03155338849467687,0.0016446055345062023
roster_mean_kast_diff,0.02169115274480856,0.0015532046863446975
avg_opponent_elo_last_5_diff,0.022331779560168016,0.0010692628362760665
total_matches_before_diff,0.013896830714767187,0.001012066929491759
map_pool_experienced_maps_diff,0.008463445065186842,0.0009545639237619364
roster_map_mean_history_mass_diff,0.01748672169011437,0.0007831239984295135
current_core_map_history_mass_diff,0.015930993947896724,0.0007407125643297763
time_weighted_series_margin_diff,0.018232282808014963,0.0007348610445817887
map_pool_second_best_elo_diff,0.012793460403692265,0.000602813788481893
map_pool_best_elo_diff,0.023727156251486105,0.0005241773578148783
roster_mean_kd_balance_diff,0.013869670713077877,0.0004556827372141608
roster_map_bottom_kast_diff,0.012318490207499496,0.00036533339075844884
map_recent_history_mass_diff,0.016086558330910293,0.000336940402817143
roster_map_mean_kast_diff,0.011454587385740664,0.0003306773359879389
days_since_map_played_diff,0.010161000778511302,0.000306804304070793
time_weighted_map_wr_diff,0.009432903638335318,0.00029160589442213673
map_pool_size_diff,0.004376360085191699,0.0002823576734085259
roster_top_kast_diff,0.014323062110770633,0.0002634249387072935
roster_bottom_kast_diff,0.013193434945853903,0.00025402546143686036
time_weighted_map_performance_residual_diff,0.008642738124854988,0.00022980112272754925
time_weighted_history_mass_min,0.0075515005871405454,0.0002193056528833781
tier_tier2,0.0014524679981555793,0.0002080095398241749
avg_series_margin_last_10_diff,0.009405012494891275,0.00019765060613026464
time_weighted_performance_residual_diff,0.011559072903612532,0.00019722641908771765
current_core_map_continuity_diff,0.0063332839645787835,0.00018388182861502902
days_since_last_match_diff,0.010294929701065738,0.00018023001931687931
recent_unique_players_20_maps_diff,0.0036096386967759703,0.0001668319255551498
roster_top_adr_diff,0.010239431957910492,0.00016546147116554
roster_map_mean_kd_balance_diff,0.009776122500496509,0.00016230071538270995
map_matchup_median_smoothed_wr_advantage,0.009532734297975413,0.0001586170093662326
map_matchup_shared_coverage,0.0030316748410655287,0.00015537273670435947
map_matches_before_diff,0.010303737826755604,0.00015206322676786788
map_adjusted_history_mass_min,0.006378820125763441,0.00015124800695733576
map_normalized_margin_last_10_diff,0.008583364228267545,0.00013974566887140215
recent_unique_players_10_maps_diff,0.00310468392668698,0.00013419051591576358
map_elo_diff,0.012961815711049669,0.00012913028797525704
selected_map_wr_vs_pool_mean_diff,0.009212441255515322,0.00012441071393155256
history_matches_sum,0.006873034653062691,0.000124044849644675
map_pool_worst_elo_diff,0.009431427527698166,0.00012214312254715532
map_matchup_elo_advantage_range,0.007880542885508322,9.934491797008448e-05
map_matches_before_min,0.0033703576315197497,8.997615018833672e-05
current_core_map_continuity_min,0.00460162916985494,8.877128575387749e-05
roster_map_mean_adr_diff,0.009036977013349459,8.231141954594678e-05
map_win_rate_last_5_diff,0.004091708897305061,7.171568100883541e-05
selected_map_rank_percentile_diff,0.005709649215203426,7.014334494982732e-05
time_weighted_map_margin_diff,0.0077830510311247166,5.797448401496652e-05
roster_size_min,0.0005788732633930459,5.738851345498397e-05
roster_map_players_with_history_diff,0.002082698277965052,5.52223070160035e-05
core5_continuity_last_10_diff,0.0038710127970109907,4.9055132282349595e-05
roster_mean_adr_diff,0.010425381203284604,4.4276801740197887e-05
map_pool_worst_smoothed_wr_diff,0.006800720841961461,4.3352335513513484e-05
bestOf_BO3,0.0006192785145432589,4.057086977941327e-05
both_teams_have_10_map_matches,0.000199444310428259,3.174697516233893e-05
map_pool_size_min,0.0016810405656525057,2.876709603393257e-05
map_name_Ancient,0.0005110794234564009,2.839391749726028e-05
roster_form_players_min,0.0006237237632353775,2.2374060884616796e-05
format_win_rate_diff,0.010405025667047495,1.973659298196706e-05
both_teams_have_map_history,0.00014058350594060303,1.9120917741968778e-05
map_normalized_margin_last_5_diff,0.008179925688413395,1.605977571018103e-05
both_teams_have_5_experienced_maps,0.0004193912006994796,1.5603996065735592e-05
win_rate_last_10_diff,0.005252550394570998,1.5555964772462345e-05
both_teams_have_3_recent_maps,0.00024916345831330945,1.316634943748507e-05
shared_recent_map_count,0.0018692581315502554,1.30649596034621e-05
map_pool_third_best_elo_diff,0.010725516569188836,1.0697570650938825e-05
map_pool_mean_elo_diff,0.014937999831290462,9.329980430936014e-06
map_win_rate_last_10_diff,0.005643795866522568,8.53092586582116e-06
both_teams_have_history,0.00010897920412911776,8.462887918739281e-06
avg_series_margin_last_5_diff,0.006021247684038323,7.881503521425805e-06
both_teams_have_5_matches,0.00021867774601550726,7.205598557463721e-06
map_name_Overpass,0.00040201125490394016,6.286526940141313e-06
core5_appearance_concentration_90d_diff,0.006342730855384303,5.676818215016863e-06
both_teams_have_10_adjusted_matches,0.0003061591943435714,4.0149254410093425e-06
map_name_Dust2,0.00016242097449132258,9.344826113311109e-07
map_name_Anubis,0.0005815346859646417,3.1791923097990154e-07
map_name_Train,3.9200240782709246e-05,1.1102230246251566e-17
tier___UNKNOWN_TIER__,0.0,0.0
map_name___UNKNOWN_MAP__,0.0,0.0
map_name_Vertigo,0.00042583496332742184,-2.113639934908657e-07
tier_tier3,0.00016412959816152552,-3.055912556781941e-07
both_teams_have_5_map_matches,0.0004138151844346658,-4.0792883365947934e-07
union_map_count,0.0011811721328853267,-2.4068612791028353e-06
both_teams_have_recent_selected_map_history,0.00018185418141866005,-2.6579555932687584e-06
performance_residual_last_10_diff,0.008336811153898538,-3.5254559699826753e-06
both_teams_have_5_adjusted_matches,0.0002090742838669885,-4.196166858824735e-06
both_teams_have_5_inferred_players,0.0002719820125318981,-5.164729959122872e-06
bestOf_BO5,0.0001483775649720959,-6.284723229083022e-06
both_teams_have_map_pool_history,9.86994955201259e-05,-8.428135172927621e-06
map_name_Nuke,0.0004096830945439899,-1.187942649125695e-05
both_teams_have_10_matches,0.00030530612294650707,-1.3424119346611141e-05
selected_map_in_both_recent_pools,0.00017697048377040184,-2.0205012762439245e-05
map_matchup_positive_advantage_balance,0.0035396465441784987,-2.0677674448693616e-05
roster_bottom_adr_diff,0.008888721107937864,-2.373134943588206e-05
selected_map_elo_vs_pool_mean_diff,0.009468755450831617,-2.9469205298898743e-05
map_name_Inferno,0.00043277491610526063,-3.354892789776687e-05
map_pool_total_matches_min,0.005389736843336742,-3.883748298954825e-05
map_matches_before_sum,0.005408589266338052,-5.00342417489752e-05
history_matches_min,0.0053911725287750885,-5.0189163451810894e-05
overall_win_rate_diff,0.016203289980409208,-7.14403000202063e-05
map_matchup_median_elo_advantage,0.0119060802901086,-7.187712998947826e-05
roster_map_players_with_history_min,0.0009490789413044182,-7.20418578337767e-05
roster_min_player_history_mass,0.006971870524811666,-7.252795427462876e-05
roster_bottom_kd_balance_diff,0.01104213045316444,-8.321436936754856e-05
performance_residual_all_diff,0.01983712852823571,-8.445370678940856e-05
roster_map_kast_specialization_diff,0.01034721131682387,-8.748599017114612e-05
opponent_adjusted_history_min,0.005093208687752211,-9.297501049584377e-05
roster_core_continuity_last10_min,0.0028920367053230766,-9.645143832330284e-05
map_matchup_mean_smoothed_wr_advantage,0.009448589133237132,-9.746767737854322e-05
roster_core_concentration_min,0.004152373826747187,-0.00010140507351121264
map_smoothed_win_rate_diff,0.00754562549740893,-0.00010359732024224356
roster_map_history_mass_min,0.007069686892083335,-0.00010754320994023624
roster_top_kd_balance_diff,0.012048607249076958,-0.00011617844675181342
win_rate_last_5_diff,0.003151027819290314,-0.00012761531026329043
shared_experienced_map_count,0.0017159580985099832,-0.00013141368117708106
map_matchup_midrange_elo_advantage,0.011838856731942807,-0.0001362155394636855
map_recent_history_mass_min,0.007160531750667417,-0.0001375451446320175
map_pool_third_best_smoothed_wr_diff,0.00754674036987012,-0.00014411169498754483
map_pool_mean_smoothed_wr_diff,0.009476106123280316,-0.00015771469394958715
map_pool_second_best_smoothed_wr_diff,0.007827740369389713,-0.000159415977175964
roster_mean_assists_per_round_diff,0.010213243653035747,-0.0001688611264546891
map_normalized_margin_all_diff,0.008408750245637012,-0.0001864536835691849
roster_mean_player_history_mass_diff,0.014911710899494309,-0.0001959437588091556
map_pool_best_smoothed_wr_diff,0.007774391649378396,-0.00021271667507675172
map_pool_mean_normalized_margin_diff,0.01034819333627507,-0.00024001991606634188
map_matchup_mean_elo_advantage,0.012784054028311303,-0.00028614221943492333
selected_map_elo_vs_overall_diff,0.017970145145742362,-0.00028836537160926436
performance_residual_last_5_diff,0.0091830210546088,-0.0002978189569015577
matches_last_30_days_diff,0.009264798305791525,-0.0003266616269080758
time_weighted_win_rate_diff,0.014195169403332972,-0.00038032050872705003
