feature,gain_mean,permutation_importance_mean
elo_diff,45.89594292640686,0.0060603659375507045
roster_mean_kast_diff,18.769922018051147,0.004723531608590942
avg_opponent_elo_last_10_diff,21.49069905281067,0.0037508972994545085
time_weighted_map_opponent_elo_diff,18.569790363311768,0.0032393196519641147
map_pool_best_elo_diff,28.495992183685303,0.002714660781140038
map_pool_total_matches_diff,27.235179901123047,0.0026305009420878904
roster_top_kd_balance_diff,11.561708450317383,0.001591300461946582
avg_opponent_elo_last_5_diff,12.92027759552002,0.0010648053476620288
roster_map_mean_history_mass_diff,15.023366928100586,0.000895657475705125
total_matches_before_diff,13.283780813217163,0.0007764556955177831
time_weighted_series_margin_diff,18.259140014648438,0.0006784186237709794
map_elo_diff,12.831024289131165,0.0005797158629476023
current_core_map_history_mass_diff,13.933533906936646,0.0005251370001362721
roster_top_kast_diff,12.340442419052124,0.0003995303949334672
map_pool_experienced_maps_diff,16.868518352508545,0.0003764602782464127
roster_mean_kd_balance_diff,13.322701930999756,0.00035649013867723733
overall_win_rate_diff,10.239739894866943,0.0003004645276729778
map_matches_before_diff,7.5713582038879395,0.0002844585579284964
time_weighted_performance_residual_diff,12.059514999389648,0.00028190714155318657
map_matchup_median_smoothed_wr_advantage,10.908751487731934,0.000251619868744582
roster_map_mean_kd_balance_diff,12.034737825393677,0.0002495215307964177
roster_map_mean_kast_diff,12.868439197540283,0.00023868058874322581
tier_tier2,8.29768168926239,0.00016490900571049794
map_pool_second_best_elo_diff,9.942785739898682,0.00016325400349876396
map_matches_before_min,5.961077451705933,0.00013875693984969072
roster_mean_assists_per_round_diff,7.394049406051636,0.0001287778688625868
performance_residual_all_diff,28.876416206359863,0.00012381125401935694
roster_map_mean_adr_diff,7.846515417098999,0.00011647977482562577
map_adjusted_history_mass_min,4.387604594230652,0.00011604312187273592
selected_map_rank_percentile_diff,3.897292971611023,0.0001154143855950668
map_recent_history_mass_diff,13.575503706932068,0.0001142052355159573
map_pool_worst_elo_diff,8.428000926971436,0.00010358529493647018
time_weighted_map_wr_diff,7.5910351276397705,9.473261905656728e-05
map_matchup_mean_smoothed_wr_advantage,2.7136552333831787,8.920657503813934e-05
map_matches_before_sum,10.333678245544434,7.767822717102968e-05
map_pool_total_matches_min,2.1668953895568848,6.627091155551323e-05
map_win_rate_last_10_diff,1.5115485191345215,5.495384045711149e-05
map_pool_mean_normalized_margin_diff,7.69943904876709,4.310049881779687e-05
map_pool_mean_smoothed_wr_diff,3.1985561847686768,4.07516177013234e-05
map_matchup_elo_advantage_range,7.953303694725037,3.102503524539113e-05
map_matchup_shared_coverage,1.5888118743896484,2.8760298585309153e-05
current_core_map_continuity_diff,3.3428256511688232,2.647467400417325e-05
time_weighted_history_mass_min,5.9069013595581055,2.4082370644568088e-05
history_matches_min,1.6223890781402588,2.3427028768013834e-05
recent_unique_players_10_maps_diff,8.670996189117432,1.8945764633127034e-05
time_weighted_map_margin_diff,2.179548978805542,1.6326255817256107e-05
map_normalized_margin_last_10_diff,6.641560077667236,1.507655787747475e-05
map_name_Nuke,2.067173480987549,1.3759499103713213e-05
history_matches_sum,6.332676410675049,1.3418494893982504e-05
map_normalized_margin_last_5_diff,2.2955033779144287,1.2728588620403159e-05
roster_min_player_history_mass,1.436167597770691,1.231583312094331e-05
roster_bottom_kd_balance_diff,9.814085960388184,9.716534594397809e-06
time_weighted_win_rate_diff,2.578218936920166,5.213423554117913e-06
avg_series_margin_last_5_diff,4.919895648956299,5.191418022590377e-06
roster_size_min,0.0,0.0
map_pool_size_min,0.0,0.0
map_name_Dust2,0.0,0.0
map_name_Vertigo,0.0,0.0
both_teams_have_map_pool_history,0.0,0.0
both_teams_have_5_adjusted_matches,0.0,0.0
both_teams_have_recent_selected_map_history,0.0,0.0
both_teams_have_map_history,0.0,0.0
bestOf_BO3,0.0,0.0
both_teams_have_10_map_matches,0.0,0.0
both_teams_have_10_matches,0.0,0.0
bestOf_BO5,0.0,0.0
both_teams_have_10_adjusted_matches,0.0,0.0
map_matchup_mean_elo_advantage,0.0,0.0
shared_recent_map_count,0.0,0.0
tier___UNKNOWN_TIER__,0.0,0.0
tier_tier3,0.0,0.0
time_weighted_map_performance_residual_diff,0.0,0.0
union_map_count,0.0,0.0
selected_map_in_both_recent_pools,0.0,0.0
shared_experienced_map_count,0.0,0.0
win_rate_last_5_diff,0.0,0.0
roster_form_players_min,0.0,0.0
roster_core_concentration_min,0.0,0.0
roster_map_players_with_history_min,0.0,0.0
map_name_Train,0.0,0.0
performance_residual_last_10_diff,0.0,0.0
recent_unique_players_20_maps_diff,0.0,0.0
opponent_adjusted_history_min,0.0,0.0
both_teams_have_3_recent_maps,0.0,0.0
map_name_Ancient,0.0,0.0
map_matchup_positive_advantage_balance,0.0,0.0
map_name_Inferno,0.0,0.0
both_teams_have_history,0.0,0.0
both_teams_have_5_matches,0.0,0.0
both_teams_have_5_map_matches,0.0,0.0
both_teams_have_5_inferred_players,0.0,0.0
map_name___UNKNOWN_MAP__,0.0,0.0
map_name_Overpass,0.0,0.0
map_name_Anubis,0.0,0.0
current_core_map_continuity_min,4.735829830169678,-5.461390927802288e-07
map_win_rate_last_5_diff,2.4640045166015625,-2.1239660723371133e-06
roster_bottom_adr_diff,8.364585638046265,-2.1838993133738133e-06
core5_continuity_last_10_diff,1.3955390453338623,-4.018446985984414e-06
map_pool_size_diff,3.8016616106033325,-5.123414315208464e-06
performance_residual_last_5_diff,1.4580214023590088,-7.069319912408889e-06
both_teams_have_5_experienced_maps,3.645861864089966,-8.020349497026014e-06
days_since_map_played_diff,9.653905987739563,-9.922313882843027e-06
map_normalized_margin_all_diff,4.831603169441223,-1.0969068478700056e-05
roster_map_players_with_history_diff,1.9435462951660156,-1.4772659547887534e-05
map_pool_best_smoothed_wr_diff,2.1449670791625977,-1.8947293065960104e-05
selected_map_wr_vs_pool_mean_diff,4.583243131637573,-2.050190179571643e-05
map_pool_third_best_smoothed_wr_diff,4.140078186988831,-2.099080241967366e-05
selected_map_elo_vs_pool_mean_diff,6.156882286071777,-2.480264294761891e-05
roster_core_continuity_last10_min,2.512230634689331,-3.295317510736418e-05
map_recent_history_mass_min,3.2040224075317383,-3.836875663240924e-05
map_matchup_midrange_elo_advantage,7.058470726013184,-3.860831345764426e-05
roster_mean_adr_diff,7.698424458503723,-4.1900670938122004e-05
format_win_rate_diff,4.62812614440918,-4.5867774479360635e-05
map_pool_third_best_elo_diff,5.442157864570618,-4.7470519121889374e-05
roster_bottom_kast_diff,9.015285730361938,-5.2921622699680926e-05
map_pool_worst_smoothed_wr_diff,5.879621982574463,-5.401103802202823e-05
