feature,family,gain_mean,weight_mean,permutation_importance_mean,permutation_importance_std,rank_permutation
elo_diff,A,37.12976408004761,29.25,0.00878531528496752,0.007623670085324254,1
avg_opponent_elo_last_10_diff,E,19.15665316581726,32.0,0.006761142456027258,0.003841693094100079,2
roster_mean_kast_diff,H,18.901115655899048,34.75,0.00607209389623033,0.004392676071720328,3
map_pool_best_elo_diff,B,29.357803106307983,18.75,0.003942749031664855,0.002975388641058823,4
map_pool_total_matches_diff,B,24.116369009017944,17.75,0.002932043335768886,0.0025637136642706576,5
avg_opponent_elo_last_5_diff,E,12.180195569992065,19.0,0.0013181154468769108,0.002099942985793116,6
roster_top_kd_balance_diff,H,11.971729755401611,8.5,0.0012481647455120093,0.002087938860959781,7
total_matches_before_diff,A,11.861206769943237,9.25,0.0010242401433071145,0.001994822863354755,8
map_pool_experienced_maps_diff,B,16.34838628768921,7.5,0.0009549719147864621,0.0005958722021198641,9
map_matches_before_diff,K,12.650058507919312,8.5,0.0009326172358755103,0.0008570867963766181,10
map_matchup_median_smoothed_wr_advantage,C,11.590106964111328,10.25,0.0007632573310585812,0.0009273631148985869,11
roster_top_kast_diff,H,11.98986291885376,13.25,0.0006215145632708308,0.0007119880674674213,12
time_weighted_series_margin_diff,F,16.283239126205444,8.25,0.0005701275627918723,0.0014059262430223985,13
map_elo_diff,K,11.092568755149841,8.5,0.0005583921686821092,0.00030525666556889845,14
map_matches_before_min,K,8.453582763671875,3.25,0.00038052355697386077,0.0004226333836858087,15
roster_mean_kd_balance_diff,H,14.786081552505493,5.0,0.00033445256656188806,0.00041216909061706614,16
time_weighted_performance_residual_diff,F,14.617396116256714,5.0,0.00023414499789677358,0.0009009887015054376,17
map_pool_second_best_elo_diff,B,9.622677445411682,7.25,0.00022897347102491806,0.00034838572004877917,18
map_matches_before_sum,K,6.169322729110718,1.5,0.00022496888542949397,0.0007123313230823262,19
days_since_map_played_diff,K,9.771535158157349,11.25,0.00020005775799817327,0.0004552211820995899,20
overall_win_rate_diff,A,9.748667478561401,3.25,8.91230186414682e-05,0.0003434868758415414,21
map_win_rate_last_5_diff,K,4.853349685668945,1.25,7.32641168758097e-05,9.205086468363656e-05,22
map_normalized_margin_all_diff,K,4.128060817718506,3.5,6.081366350241813e-05,0.0008128044278468162,23
map_pool_mean_normalized_margin_diff,B,4.744953989982605,1.25,6.022083040553294e-05,0.00012724339870734584,24
recent_unique_players_10_maps_diff,I,7.8065025806427,2.25,5.997717343332321e-05,7.257805347614502e-05,25
roster_bottom_kast_diff,H,9.999931573867798,4.0,5.336234021720565e-05,0.00015512403187655142,26
history_matches_min,A,5.089285373687744,0.75,4.645281763881459e-05,0.00010681969574295187,27
