feature,family,gain_mean,permutation_importance_mean,rank
elo_diff,A,47.165714502334595,0.006253396351440805,1
roster_mean_kast_diff,H,20.162917852401733,0.004664597011012719,2
avg_opponent_elo_last_10_diff,E,21.5706307888031,0.003545884346762293,3
time_weighted_map_opponent_elo_diff,M,20.224400997161865,0.003227507905887864,4
map_pool_best_elo_diff,B,29.800764560699463,0.002877051409511297,5
map_pool_total_matches_diff,B,29.849417686462402,0.002511541307452225,6
avg_opponent_elo_last_5_diff,E,14.056180238723755,0.0014936129731155212,7
roster_map_mean_history_mass_diff,O,15.759188175201416,0.0011305980703769675,8
roster_top_kd_balance_diff,H,11.676145792007446,0.0011129223982644376,9
time_weighted_series_margin_diff,F,20.85350275039673,0.0009065485076352742,10
total_matches_before_diff,A,14.347647666931152,0.0008178004334450539,11
map_elo_diff,K,13.77733325958252,0.0006804088708681239,12
current_core_map_history_mass_diff,P,13.998893022537231,0.0005867859187490831,13
roster_mean_kd_balance_diff,H,13.47981309890747,0.0005190718241127295,14
map_recent_history_mass_diff,M,14.719923257827759,0.0004996044388605014,15
overall_win_rate_diff,A,8.96546983718872,0.0004899397206862555,16
map_pool_experienced_maps_diff,B,17.79324197769165,0.0004482705464472048,17
roster_top_kast_diff,H,12.65704894065857,0.000421601820000575,18
map_matchup_median_smoothed_wr_advantage,C,12.27983045578003,0.0003974148524073573,19
time_weighted_performance_residual_diff,F,12.817567348480225,0.00036811636629158483,20
map_pool_second_best_elo_diff,B,7.3735573291778564,0.0003569844218981516,21
roster_map_mean_kast_diff,O,13.716520547866821,0.00023479315309655194,22
roster_map_mean_kd_balance_diff,O,9.991990804672241,0.00020732303644504791,23
avg_series_margin_last_10_diff,A,7.009836673736572,0.00020577156701000743,24
roster_bottom_kast_diff,H,9.283742189407349,0.0001617625340602974,25
map_adjusted_history_mass_min,M,5.019526720046997,0.00015489196028402872,26
map_matches_before_min,K,6.87492036819458,0.0001370451123499733,27
avg_series_margin_last_5_diff,A,5.16425347328186,0.0001365553064371722,28
roster_map_mean_adr_diff,O,8.238739013671875,0.00011814079087236752,29
map_pool_worst_elo_diff,B,9.975196599960327,0.00010830816745103777,30
map_pool_total_matches_min,D,4.722463130950928,0.00010803601852432676,31
roster_bottom_adr_diff,H,11.433528065681458,0.00010550637273387399,32
performance_residual_all_diff,E,32.264145374298096,9.559326453275062e-05,33
roster_mean_assists_per_round_diff,H,11.90476405620575,9.058891219971277e-05,34
map_normalized_margin_last_5_diff,K,2.6812024116516113,8.880557449065241e-05,35
time_weighted_map_wr_diff,M,8.078169345855713,8.607609792227467e-05,36
selected_map_rank_percentile_diff,N,3.9318195581436157,8.548777116124396e-05,37
map_matches_before_diff,K,9.167549133300781,8.030624996119841e-05,38
map_pool_mean_normalized_margin_diff,B,7.247033596038818,7.978709244910176e-05,39
roster_map_bottom_kast_diff,O,13.230262517929077,7.799669066251846e-05,40
roster_bottom_kd_balance_diff,H,10.662148237228394,6.885808098906488e-05,41
current_core_map_continuity_diff,P,2.280026912689209,6.866433601015742e-05,42
map_matchup_midrange_elo_advantage,C,4.998430967330933,6.326401895527245e-05,43
map_matchup_mean_smoothed_wr_advantage,C,2.313366174697876,5.905893720541122e-05,44
map_win_rate_last_10_diff,K,1.7891302108764648,5.5248386309517114e-05,45
selected_map_elo_vs_pool_mean_diff,N,2.8266236782073975,4.3992526950950575e-05,46
days_since_map_played_diff,K,9.881359100341797,4.286075733013482e-05,47
time_weighted_win_rate_diff,F,4.423705458641052,3.8156185049750824e-05,48
time_weighted_history_mass_min,G,6.78881049156189,3.4941166241295174e-05,49
map_pool_third_best_smoothed_wr_diff,B,2.1442244052886963,3.3620305149512084e-05,50
tier_tier2,L,9.301619052886963,2.7463094260918313e-05,51
map_matches_before_sum,K,9.342814207077026,2.2292626224226787e-05,52
map_pool_third_best_elo_diff,B,5.5135719776153564,1.820824550325395e-05,53
roster_map_players_with_history_diff,O,4.212138414382935,1.6989257584107408e-05,54
core5_continuity_last_10_diff,I,1.495937466621399,1.45589807030444e-05,55
map_matchup_elo_advantage_range,D,4.587312459945679,7.780561721271175e-06,56
map_pool_best_smoothed_wr_diff,B,2.2434377670288086,5.9915464726501e-06,57
map_normalized_margin_last_10_diff,K,2.2149922847747803,4.105357413963784e-06,58
map_pool_mean_smoothed_wr_diff,B,2.567922592163086,2.330022482324723e-06,59
history_matches_min,A,1.5992608070373535,1.7752552246286246e-06,60
map_name_Ancient,L,0.0,0.0,61
both_teams_have_5_adjusted_matches,G,0.0,0.0,62
both_teams_have_recent_selected_map_history,M,0.0,0.0,63
both_teams_have_10_map_matches,K,0.0,0.0,64
bestOf_BO3,L,0.0,0.0,65
bestOf_BO5,L,0.0,0.0,66
both_teams_have_10_adjusted_matches,G,0.0,0.0,67
time_weighted_map_performance_residual_diff,M,0.0,0.0,68
time_weighted_map_margin_diff,M,0.0,0.0,69
tier___UNKNOWN_TIER__,L,0.0,0.0,70
tier_tier3,L,0.0,0.0,71
shared_recent_map_count,D,0.0,0.0,72
win_rate_last_5_diff,A,0.0,0.0,73
selected_map_in_both_recent_pools,N,0.0,0.0,74
shared_experienced_map_count,D,0.0,0.0,75
recent_unique_players_20_maps_diff,I,0.0,0.0,76
roster_core_concentration_min,J,0.0,0.0,77
opponent_adjusted_history_min,G,0.0,0.0,78
map_name_Anubis,L,0.0,0.0,79
map_name_Nuke,L,0.0,0.0,80
map_pool_size_min,D,0.0,0.0,81
map_matchup_shared_coverage,D,0.0,0.0,82
map_name___UNKNOWN_MAP__,L,0.0,0.0,83
map_matchup_mean_elo_advantage,C,0.0,0.0,84
map_matchup_positive_advantage_balance,C,0.0,0.0,85
both_teams_have_map_history,K,0.0,0.0,86
both_teams_have_map_pool_history,D,0.0,0.0,87
both_teams_have_history,A,0.0,0.0,88
both_teams_have_5_matches,A,0.0,0.0,89
both_teams_have_5_map_matches,K,0.0,0.0,90
both_teams_have_5_inferred_players,J,0.0,0.0,91
both_teams_have_10_matches,A,0.0,0.0,92
both_teams_have_3_recent_maps,D,0.0,0.0,93
map_name_Dust2,L,0.0,0.0,94
map_name_Inferno,L,0.0,0.0,95
map_name_Train,L,0.0,0.0,96
map_name_Overpass,L,0.0,0.0,97
map_name_Vertigo,L,0.0,0.0,98
performance_residual_last_10_diff,E,0.0,0.0,99
roster_form_players_min,J,0.0,0.0,100
roster_size_min,J,0.0,0.0,101
roster_map_players_with_history_min,O,0.0,0.0,102
map_matchup_median_elo_advantage,C,4.945170164108276,-1.6165785057808968e-08,103
roster_mean_adr_diff,H,8.0540452003479,-2.0295509591566923e-06,104
current_core_map_continuity_min,P,2.99971604347229,-2.6456179229639164e-06,105
performance_residual_last_5_diff,E,3.167729616165161,-2.8516485803348202e-06,106
map_win_rate_last_5_diff,K,2.718378782272339,-5.642775535474876e-06,107
history_matches_sum,A,6.800898551940918,-8.536425433455785e-06,108
roster_min_player_history_mass,J,1.5904772281646729,-1.1802873084404419e-05,109
map_pool_size_diff,B,4.277204990386963,-1.207911313593768e-05,110
map_pool_worst_smoothed_wr_diff,B,5.7230916023254395,-1.277281880198433e-05,111
union_map_count,D,2.6494429111480713,-1.3072465031119252e-05,112
