candidate_id,fold,row_type,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,n_train_unique,n_train_augmented,best_iteration,effective_n_estimators,train_accuracy,train_roc_auc,train_log_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_log_loss,val_brier,train_val_auc_gap,abs_train_val_auc_gap,fit_seconds,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_accuracy_mean,val_precision_mean,val_recall_mean,val_f1_mean,train_roc_auc_mean,train_log_loss_mean,mean_abs_train_val_auc_gap,train_val_auc_gap_mean,best_iterations,median_effective_n_estimators,mean_fit_seconds
A0_phase6b_reference_structure,1.0,fold,0.03,2,10,0.75,0.85,5.0,0.01,10.0,1221.0,2442.0,67.0,68.0,0.6257166257166257,0.6618050872602702,0.6634095375211858,0.5874352331606217,0.6018306636155606,0.645398773006135,0.6228537596210776,0.617716512240484,0.6733039440119861,0.24019069969654083,0.04408857501978625,0.04408857501978625,0.13783610000245972,,,,,,,,,,,,,,,,
A0_phase6b_reference_structure,2.0,fold,0.03,2,10,0.75,0.85,5.0,0.01,10.0,2765.0,5530.0,410.0,411.0,0.65750452079566,0.7108431171696477,0.631955950161676,0.5741573033707865,0.5896713615023474,0.6617492096944152,0.6236345580933466,0.5897860690650365,0.6799654477351547,0.2435188740491867,0.12105704810461115,0.12105704810461115,0.4664288999993005,,,,,,,,,,,,,,,,
A0_phase6b_reference_structure,3.0,fold,0.03,2,10,0.75,0.85,5.0,0.01,10.0,4545.0,9090.0,84.0,85.0,0.6026402640264027,0.6325285438226769,0.6670410038977753,0.5891858297078931,0.5931520644511581,0.6962174940898345,0.6405655247417075,0.6253830375926803,0.6683615565356549,0.23784588277339935,0.0071455062299965455,0.0071455062299965455,0.17330230000516167,,,,,,,,,,,,,,,,
A0_phase6b_reference_structure,4.0,fold,0.03,2,10,0.75,0.85,5.0,0.01,10.0,6154.0,12308.0,209.0,210.0,0.6065973350666234,0.6445014807711779,0.6583823834420907,0.5982587064676617,0.6091269841269841,0.7090069284064665,0.655282817502668,0.6379292904141481,0.6585197850361969,0.2333565354347229,0.006572190357029717,0.006572190357029717,0.3661976000003051,,,,,,,,,,,,,,,,
A1_less_l2,1.0,fold,0.03,2,10,0.75,0.85,5.0,0.01,5.0,1221.0,2442.0,67.0,68.0,0.628992628992629,0.6681763008119117,0.6615903217800684,0.5926165803108808,0.6056818181818182,0.6539877300613497,0.6289085545722713,0.6228895789677431,0.6718894707734478,0.23949941992759705,0.0452867218441686,0.0452867218441686,0.08932669999921927,,,,,,,,,,,,,,,,
A1_less_l2,2.0,fold,0.03,2,10,0.75,0.85,5.0,0.01,5.0,2765.0,5530.0,439.0,440.0,0.6654611211573237,0.7228702755233367,0.6258556410067264,0.5702247191011236,0.5874524714828897,0.6512118018967334,0.6176911544227887,0.5904961711548923,0.6802256461978096,0.2436390370130539,0.13237410436844443,0.13237410436844443,0.49224079999839887,,,,,,,,,,,,,,,,
A1_less_l2,3.0,fold,0.03,2,10,0.75,0.85,5.0,0.01,5.0,4545.0,9090.0,59.0,60.0,0.5955995599559956,0.6289760002053358,0.6704517326050555,0.5910503418272218,0.5932539682539683,0.706855791962175,0.645091693635383,0.6249120833836821,0.6705232753904945,0.23884911835193634,0.004063916821653746,0.004063916821653746,0.15619519999745535,,,,,,,,,,,,,,,,
A1_less_l2,4.0,fold,0.03,2,10,0.75,0.85,5.0,0.01,5.0,6154.0,12308.0,168.0,169.0,0.605622359441014,0.6407096782059213,0.6602100922939013,0.6013681592039801,0.6119402985074627,0.710161662817552,0.6574024585783004,0.6390567905230854,0.6580996052811817,0.23315005004405975,0.0016528876828358907,0.0016528876828358907,0.31381629999668803,,,,,,,,,,,,,,,,
A2_more_l2,1.0,fold,0.03,2,10,0.75,0.85,5.0,0.01,20.0,1221.0,2442.0,67.0,68.0,0.6265356265356266,0.6544938364847732,0.6652262781774819,0.582901554404145,0.5961754780652418,0.6503067484662577,0.6220657276995305,0.6167916382640308,0.6738250495298992,0.24043802917003632,0.03770219822074239,0.03770219822074239,0.07961449999856995,,,,,,,,,,,,,,,,
A2_more_l2,2.0,fold,0.03,2,10,0.75,0.85,5.0,0.01,20.0,2765.0,5530.0,635.0,636.0,0.6694394213381555,0.7225072886297377,0.6254095910081133,0.5668539325842696,0.5836466165413534,0.6543730242360379,0.61698956780924,0.5869925781651216,0.6826453653544307,0.24470818042755127,0.13551471046461605,0.13551471046461605,0.6296640999935335,,,,,,,,,,,,,,,,
A2_more_l2,3.0,fold,0.03,2,10,0.75,0.85,5.0,0.01,20.0,4545.0,9090.0,58.0,59.0,0.5947194719471948,0.6273357439555229,0.6711767804109512,0.5891858297078931,0.5925925925925926,0.6997635933806147,0.6417344173441735,0.6240205236886868,0.6713320563420145,0.23923447728157043,0.003315220266836172,0.003315220266836172,0.13095350000367034,,,,,,,,,,,,,,,,
A2_more_l2,4.0,fold,0.03,2,10,0.75,0.85,5.0,0.01,20.0,6154.0,12308.0,180.0,181.0,0.603022424439389,0.6397502911450041,0.6605398876569081,0.5945273631840796,0.6057312252964426,0.707852193995381,0.6528221512247071,0.637778334567955,0.6587525050895474,0.23342999815940857,0.001971956577049183,0.001971956577049183,0.31747059999906924,,,,,,,,,,,,,,,,
A3_stronger_child_constraint,1.0,fold,0.03,2,20,0.75,0.85,5.0,0.01,10.0,1221.0,2442.0,68.0,69.0,0.628992628992629,0.6610457745529091,0.6638133602122467,0.5874352331606217,0.6006787330316742,0.6515337423312884,0.6250735726898176,0.6170449476970722,0.6734105774222766,0.24024595320224762,0.04400082685583695,0.04400082685583695,0.07769809999444988,,,,,,,,,,,,,,,,
