feature,impurity_importance,rank
elo_diff,0.1308609235127687,1
overall_win_rate_diff,0.09643246140457463,2
days_since_last_match_diff,0.09530200655552341,3
format_win_rate_diff,0.09468870284595665,4
total_matches_before_diff,0.09457910656360206,5
history_matches_sum,0.083482750093789,6
history_matches_min,0.07493515805216937,7
avg_series_margin_last_10_diff,0.07123611914338736,8
matches_last_30_days_diff,0.06615798892707815,9
avg_series_margin_last_5_diff,0.06101958281772691,10
win_rate_last_10_diff,0.04757442774925848,11
win_rate_last_5_diff,0.03545171944484617,12
tier_tier2,0.015405995435690883,13
bestOf_BO3,0.012332899211612298,14
tier_tier3,0.006904347939866713,15
both_teams_have_10_matches,0.005123748578697786,16
both_teams_have_5_matches,0.004784582542550809,17
both_teams_have_history,0.0025780413151488286,18
bestOf_BO5,0.0011494378657517315,19
