feature,mean_importance,std_importance,rank
elo_diff,0.06137615784926361,0.01406049167434937,1
total_matches_before_diff,0.029606180554160245,0.00952376966750056,2
avg_series_margin_last_10_diff,0.008392774618738575,0.005074460519153391,3
overall_win_rate_diff,0.005698728123932595,0.004197097814771826,4
avg_series_margin_last_5_diff,0.002186602101709878,0.0016616663331290344,5
format_win_rate_diff,0.0018253330386385103,0.003538340473412457,6
both_teams_have_5_matches,0.0017794209246719817,0.0011121386950437564,7
both_teams_have_10_matches,0.0014345275171291582,0.00112270121509226,8
tier_tier2,0.0007440374530329752,0.0025813352809285826,9
both_teams_have_history,0.0003492133657497787,0.000490940057544249,10
win_rate_last_10_diff,0.00025919749241496424,0.0028529439715723258,11
matches_last_30_days_diff,0.0002106733106954084,0.0023537009828838466,12
bestOf_BO5,-2.2805360766708915e-05,0.00019119150214611593,13
bestOf_BO3,-0.0008656995318370942,0.0007717252563854116,14
win_rate_last_5_diff,-0.0011207779943338103,0.002483029859452911,15
tier_tier3,-0.0015696517912756613,0.0005311992967571956,16
history_matches_min,-0.002050071329542491,0.0061089367525143864,17
days_since_last_match_diff,-0.00241576081496514,0.0032642011425923815,18
history_matches_sum,-0.0024801583314914997,0.002138293162153252,19
