feature,impurity_importance,rank
elo_diff,0.2664610288057121,1
total_matches_before_diff,0.14224156000884836,2
overall_win_rate_diff,0.10125446871782048,3
format_win_rate_diff,0.07559931204014718,4
history_matches_min,0.0663049228110651,5
avg_series_margin_last_10_diff,0.061869938150930656,6
history_matches_sum,0.05411057746738295,7
days_since_last_match_diff,0.05125944483630138,8
avg_series_margin_last_5_diff,0.04260448499600676,9
win_rate_last_10_diff,0.03968539494052129,10
matches_last_30_days_diff,0.03608920292606296,11
win_rate_last_5_diff,0.029351902728337133,12
both_teams_have_5_matches,0.008881771776049976,13
tier_tier2,0.008103528102127186,14
both_teams_have_10_matches,0.006114187007148937,15
bestOf_BO3,0.0047713179398684155,16
both_teams_have_history,0.0038542212543028935,17
tier_tier3,0.0013839244624349427,18
bestOf_BO5,5.8811028931292e-05,19
