feature,mean_importance,std_importance,rank
elo_diff,0.07116478128955779,0.014814205659180993,1
total_matches_before_diff,0.03528883441499727,0.005558343240593412,2
avg_series_margin_last_10_diff,0.005268138801261824,0.002225230895752555,3
history_matches_min,0.003922823444312762,0.0018565835333381752,4
matches_last_30_days_diff,0.0026526552673351023,0.0009733344800400519,5
overall_win_rate_diff,0.002158673069581463,0.0018121714476328442,6
win_rate_last_10_diff,0.0019957202274508367,0.0006104670065364898,7
days_since_last_match_diff,0.0019227832586550253,0.0017218443250315038,8
format_win_rate_diff,0.001751491892543533,0.001349907679068264,9
both_teams_have_5_matches,0.0012913661114348218,0.0007465484009408167,10
history_matches_sum,0.0012005465249452674,0.0014015214800774905,11
both_teams_have_history,0.00099459502903414,0.00026881321596703784,12
both_teams_have_10_matches,0.0008816733307882352,0.0004262202897701583,13
avg_series_margin_last_5_diff,0.00037483172255823314,0.0008668340088331733,14
win_rate_last_5_diff,0.00035473889368885513,0.0005486114016161082,15
tier_tier2,0.0003235950089413242,0.0006431892237537687,16
bestOf_BO3,6.72105125681055e-05,0.00010821667282380212,17
bestOf_BO5,1.8083545982428007e-06,1.7480761116345797e-05,18
tier_tier3,-0.00019701018706419493,7.871985972692361e-05,19
