model,subgroup,row_type,fold,n,v3_accuracy,v4_accuracy,delta_accuracy,v3_roc_auc,v4_roc_auc,delta_roc_auc,v3_log_loss,v4_log_loss,delta_log_loss,v3_brier,v4_brier,delta_brier,v3_f1,v4_f1,delta_f1,n_v3,n_v4,reliable_sample_size,delta_accuracy_pp,v3_correct,v4_correct,delta_correct
rf,coverage_rich,fold,1,895.0,0.5854748603351956,0.5776536312849162,-0.007821229050279377,0.6007158948685858,0.6031088861076346,0.0023929912390487917,0.6752661419963113,0.674976929598851,-0.00028921239746027005,0.24131947298057235,0.24115332647329943,-0.00016614650727292402,0.6263846928499497,0.615071283095723,-0.011313409754226678,,,,,,,
rf,coverage_rich,fold,2,818.0,0.5709046454767727,0.5794621026894865,0.008557457212713837,0.6030581590963711,0.6048546022590724,0.0017964431627013333,0.6747252980713199,0.6734227536500738,-0.0013025444212461101,0.24086645765529613,0.24026795816516527,-0.0005984994901308549,0.6221743810548978,0.6301075268817204,0.007933145826822696,,,,,,,
rf,coverage_rich,fold,3,872.0,0.6318807339449541,0.6330275229357798,0.0011467889908256534,0.6630538579067992,0.663510101010101,0.0004562431033018344,0.6500064458287714,0.6499939786401943,-1.2467188577169885e-05,0.22914731693874857,0.22913840694139326,-8.909997355310839e-06,0.6880466472303207,0.6850393700787402,-0.0030072771515805563,,,,,,,
rf,coverage_rich,fold,4,934.0,0.6156316916488223,0.6177730192719486,0.0021413276231263545,0.6509720323470121,0.6508376393169129,-0.00013439303009921133,0.6500347559608203,0.649660500133475,-0.0003742558273452934,0.22956663291050336,0.22950173358635173,-6.489932415162936e-05,0.6691244239631337,0.6672879776328052,-0.0018364463303284229,,,,,,,
rf,coverage_rich,fold_agg_mean,mean,879.75,0.6009729828514361,0.6019790690455328,0.001006086194096617,0.629449986054692,0.6305778071734303,0.001127821118738187,0.6625081604643057,0.6620135405056484,-0.0004946199586572109,0.2352249701212801,0.23501535629155243,-0.00020961382972767978,0.6514325362745754,0.6493765394222473,-0.00205599685232824,,,,,,,
rf,cold_start,fold,1,343.0,0.6647230320699709,0.6472303206997084,-0.017492711370262426,0.6765592515592517,0.6704261954261954,-0.006133056133056258,0.6513734304655532,0.6533865647669399,0.002013134301386721,0.22954465738870955,0.23043082918982444,0.0008861718011148878,0.7012987012987013,0.6857142857142857,-0.01558441558441559,,,,,,,
rf,cold_start,fold,2,335.0,0.6716417910447762,0.6656716417910448,-0.005970149253731405,0.7115800865800865,0.7185773996118824,0.006997313031795849,0.619994838151848,0.615133705227756,-0.00486113292409196,0.21463733179793465,0.212416661629148,-0.0022206701687866592,0.7317073170731707,0.7254901960784313,-0.006217120994739367,,,,,,,
rf,cold_start,fold,3,394.0,0.5431472081218274,0.5634517766497462,0.020304568527918843,0.5989235821517932,0.6063125521267724,0.007388969974979176,0.6675430249731248,0.6666120046057876,-0.0009310203673371653,0.23773325380914212,0.23730961403192477,-0.00042363977721734947,0.5673076923076923,0.596244131455399,0.028936439147706716,,,,,,,
rf,cold_start,fold,4,314.0,0.6114649681528662,0.6401273885350318,0.0286624203821656,0.6457715744400527,0.6620759222661396,0.016304347826086918,0.663942281053327,0.6556858249990709,-0.008256456054256067,0.23452332316170932,0.23116486923526586,-0.003358453926443461,0.6702702702702703,0.6920980926430518,0.02182782237278147,,,,,,,
rf,cold_start,fold_agg_mean,mean,346.5,0.6227442498473602,0.6291202819188828,0.006376032071522653,0.658208623682796,0.6643480173577474,0.006139393674951421,0.6507133936609631,0.6477045248998886,-0.003008868761074618,0.2291096415393739,0.22783049352154078,-0.0012791480178331455,0.6676459952374587,0.6748866764727919,0.007240681235333307,,,,,,,
