model,feature_set,fold,n_fold_train,n_fold_val,train_accuracy,train_roc_auc,train_log_loss,train_brier,train_f1,val_accuracy,val_roc_auc,val_log_loss,val_brier,val_f1,train_val_auc_gap,row_type,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_accuracy_std,val_f1_mean,val_f1_std,train_roc_auc_mean,train_val_auc_gap_mean,delta_log_loss,delta_roc_auc,delta_brier,delta_accuracy,delta_f1
rf,v3,1,1323.0,1325.0,0.7188208616780045,0.7989855539197644,0.6033112662916307,0.20663377681036785,0.7335243553008596,0.6075471698113207,0.6213829787234042,0.668007061229512,0.23774477420988618,0.6472184531886025,0.17760257519636025,fold,,,,,,,,,,,,,,,,,
xgb,v3,1,1323.0,1325.0,0.6477702191987906,0.7137456293706295,0.638803894955892,0.22351081669330597,0.6647482014388489,0.5901886792452831,0.6111290322580645,0.6725050066951676,0.23981671035289764,0.6343434343434343,0.10261659711256499,fold,,,,,,,,,,,,,,,,,
rf,v4,1,1323.0,1325.0,0.7188208616780045,0.8055345969819654,0.5967295238936534,0.20354836081725933,0.7350427350427351,0.5969811320754717,0.6201818805765271,0.6686331853512518,0.2380111407502782,0.6352459016393442,0.18535271640543827,fold,,,,,,,,,,,,,,,,,
xgb,v4,1,1323.0,1325.0,0.6674225245653818,0.7302792602134708,0.6315418716002591,0.22003191709518433,0.6986301369863014,0.600754716981132,0.6145424388011896,0.670898901296386,0.23907212913036346,0.644250168123739,0.11573682141228114,fold,,,,,,,,,,,,,,,,,
rf,v3,2,2648.0,1323.0,0.6895770392749244,0.7762163371106117,0.6043413317621997,0.20739219160531885,0.7123862841147656,0.6046863189720333,0.6447930419475135,0.6552292476668425,0.23152732715928784,0.6640976236351959,0.13142329516309814,fold,,,,,,,,,,,,,,,,,
xgb,v3,2,2648.0,1323.0,0.6382175226586103,0.6978348511263018,0.6407779625724426,0.22461244463920593,0.6689702833448514,0.6145124716553289,0.6520637898686679,0.6542688125588185,0.23101681470870972,0.6763959390862944,0.04577106125763397,fold,,,,,,,,,,,,,,,,,
rf,v4,2,2648.0,1323.0,0.7001510574018127,0.784656145341102,0.6004310087976185,0.20551487902051296,0.7237299930410578,0.6137566137566137,0.6502073054918585,0.6525595245634364,0.23031091054334646,0.6701097482246611,0.1344488398492435,fold,,,,,,,,,,,,,,,,,
xgb,v4,2,2648.0,1323.0,0.6503021148036254,0.712984011561224,0.635445269971911,0.22199855744838715,0.687373396353815,0.6198034769463341,0.651380492437403,0.6540834029488439,0.23102092742919922,0.6756931012250161,0.061603519123821004,fold,,,,,,,,,,,,,,,,,
rf,v3,3,3971.0,1323.0,0.6862251322085117,0.7607087521029001,0.6063882337976493,0.20862430057220435,0.7208781362007168,0.6024187452758881,0.6455728446288612,0.6547133385104602,0.23148200530246218,0.6502659574468085,0.1151359074740389,fold,,,,,,,,,,,,,,,,,
xgb,v3,3,3971.0,1323.0,0.6346008562075044,0.6890396666644516,0.6417337503671477,0.22513650357723236,0.6810287975379204,0.6039304610733183,0.6401878745965883,0.6582737354682772,0.2330455183982849,0.6619354838709678,0.048851792067863276,fold,,,,,,,,,,,,,,,,,
rf,v4,3,3971.0,1323.0,0.6900025182573659,0.7679760579932696,0.6031944348206985,0.20708616825295384,0.7229349538600045,0.6092214663643235,0.6456454587367451,0.6548490382402626,0.2315635008284757,0.6560212907518297,0.12233059925652456,fold,,,,,,,,,,,,,,,,,
xgb,v4,3,3971.0,1323.0,0.6406446738856711,0.6952508579014604,0.6394563641594004,0.22404108941555023,0.6853362734288865,0.6054421768707483,0.6410338865836792,0.657635040129259,0.23276464641094208,0.6592689295039165,0.05421697131778114,fold,,,,,,,,,,,,,,,,,
rf,v3,4,5294.0,1325.0,0.6703815640347563,0.7461955107508746,0.6111882664834727,0.2111481384370685,0.7072638818990102,0.610566037735849,0.6450651447019486,0.6553907938707587,0.23169739580327028,0.666235446313066,0.101130366048926,fold,,,,,,,,,,,,,,,,,
xgb,v3,4,5294.0,1325.0,0.6256139025311673,0.6792519922386161,0.6443093432805345,0.2264438420534134,0.6768829475057059,0.6060377358490566,0.6438521849417733,0.6562135820707752,0.23209808766841888,0.6619170984455959,0.03539980729684278,fold,,,,,,,,,,,,,,,,,
rf,v4,4,5294.0,1325.0,0.6779372874952777,0.7544464763567353,0.6075814172204405,0.20941095120255826,0.7123333895731399,0.6173584905660378,0.6476847688227833,0.6530433019471373,0.2308049532235877,0.6705653021442495,0.10676170753395209,fold,,,,,,,,,,,,,,,,,
xgb,v4,4,5294.0,1325.0,0.6305251227805062,0.684273962639889,0.642426406825008,0.22553269565105438,0.6757294429708223,0.610566037735849,0.6450847457627119,0.6548670543185858,0.23151694238185883,0.6644993498049415,0.039189216877177135,fold,,,,,,,,,,,,,,,,,
rf,v3,,,,,,,,,,,,,,,aggregate,0.6583351103193934,0.0055897058869393765,0.6392035025004319,0.010292489827122466,0.23311287561872662,0.002675433122526678,0.6063045679487729,0.003058697914586958,0.6569543701459182,0.008316961414270171,0.7705265384710377,0.13132303597060582,,,,,
rf,v4,,,,,,,,,,,,,,,aggregate,0.657271262525522,0.006615069653104085,0.6409298534069785,0.012087341619036745,0.23267262633642202,0.003114313723880198,0.6093294256906117,0.007690219232365747,0.6579855606900211,0.014371815025958476,0.7781533191682681,0.1372234657612896,,,,,
xgb,v3,,,,,,,,,,,,,,,aggregate,0.6603152841982597,0.007178806227321019,0.6368082204162735,0.015436908712534952,0.2339942827820778,0.0034373568592156374,0.6036673369557467,0.008731826635111555,0.6586479889365732,0.015224945060767117,0.6949680348499997,0.058159814433726253,,,,,
xgb,v4,,,,,,,,,,,,,,,aggregate,0.6593710996732687,0.006785099008283242,0.6380103908962459,0.014041834047813406,0.2335936613380909,0.0032261663197027716,0.6091416021335159,0.007066296433484112,0.6609278871644033,0.011310010439507811,0.7056970230790109,0.0676866321827651,,,,,
rf,,1,,,,,,,,,,,,,,paired_delta,,,,,,,,,,,,,0.0006261241217397906,-0.0012010981468770776,0.0002663665403920268,-0.010566037735849076,-0.011972551549258248
