feature,gain,weight,fold_val_permutation_mean,fold_val_permutation_std,family
elo_diff,62.08333969116211,112.0,0.00940862731444788,0.004557459863811023,A_original_v1
map_pool_total_matches_diff,32.067203521728516,58.0,0.010182094458474717,0.005505786804613606,B_pool_depth
performance_residual_all_diff,24.414405822753906,26.0,0.0027427190898929423,0.004965898734984153,E_opponent_strength
map_pool_best_elo_diff,23.680450439453125,71.0,0.002362576967505567,0.002439235405807044,B_pool_depth
map_pool_experienced_maps_diff,18.30177879333496,33.0,0.0018459494230683299,0.0022089427311443436,B_pool_depth
avg_opponent_elo_last_10_diff,17.40389060974121,94.0,0.0031014999663886624,0.0007680674672587093,E_opponent_strength
map_pool_size_diff,17.12910270690918,49.0,0.001227883332776622,0.0020571325620316046,B_pool_depth
total_matches_before_diff,15.5274658203125,32.0,0.0013271387711274423,0.002342097206936515,A_original_v1
map_pool_mean_smoothed_wr_diff,15.198976516723633,13.0,-0.00020254395031249486,0.0005341466419961396,B_pool_depth
map_matchup_shared_coverage,14.111886978149414,4.0,-5.23613832908082e-05,0.0001558827639348969,D_coverage_confidence
time_weighted_series_margin_diff,13.45126724243164,83.0,0.0013115058220829175,0.0009253947276172195,F_time_decayed
map_matchup_positive_advantage_balance,13.322141647338867,2.0,1.7328627351215208e-05,2.0446532206343845e-05,C_same_map_matchup
map_matchup_mean_elo_advantage,12.457820892333984,9.0,-0.0002490313301865027,0.00018746274548731058,C_same_map_matchup
map_pool_mean_elo_diff,12.28845500946045,12.0,-0.000129097199993422,0.0012635672630979227,B_pool_depth
map_matchup_median_smoothed_wr_advantage,12.286975860595703,47.0,0.0002594276857267791,0.0006149534037931102,C_same_map_matchup
history_matches_min,12.28417682647705,21.0,0.0003371897381658329,0.00047875674465942976,A_original_v1
map_matchup_mean_smoothed_wr_advantage,11.895424842834473,13.0,-0.0005732485698897172,0.0009623723412579638,C_same_map_matchup
time_weighted_history_mass_min,11.848392486572266,36.0,0.0004904287911343674,0.0007823454509809688,G_form_confidence
shared_recent_map_count,11.845290184020996,1.0,4.399360410289877e-06,7.903277683478622e-06,D_coverage_confidence
map_pool_total_matches_min,11.638242721557617,14.0,0.0005047871009900423,0.0005630265594416969,D_coverage_confidence
tier_tier2,11.56155014038086,15.0,0.0015657551804267866,0.0013732970584960729,A_original_v1
map_pool_second_best_smoothed_wr_diff,11.410178184509277,13.0,0.0001462575898666607,0.001101244013958981,B_pool_depth
avg_series_margin_last_10_diff,11.366415023803711,15.0,-0.00024106418556676669,0.0010480347136210587,A_original_v1
time_weighted_win_rate_diff,11.335530281066895,14.0,0.0009346132929238027,0.0018838671580574192,F_time_decayed
time_weighted_performance_residual_diff,11.261526107788086,17.0,0.000619933132382805,0.0011891723715371,F_time_decayed
map_pool_mean_normalized_margin_diff,11.099987983703613,64.0,0.0018354599939622825,0.0019283033750334246,B_pool_depth
shared_experienced_map_count,11.004852294921875,3.0,6.338135099262509e-06,5.388889219309053e-05,D_coverage_confidence
map_pool_second_best_elo_diff,10.844432830810547,17.0,0.00026885882374993726,0.001340671503082319,B_pool_depth
bestOf_BO3,10.785866737365723,3.0,0.00014590756929503402,0.00010633088533375771,A_original_v1
map_pool_third_best_elo_diff,10.67268180847168,16.0,-0.0003054076128888139,0.00036289303917276316,B_pool_depth
avg_opponent_elo_last_5_diff,10.615667343139648,38.0,0.0029978387930945207,0.0031324612256874817,E_opponent_strength
days_since_last_match_diff,10.247703552246094,76.0,0.002445747769594903,0.0015013865832763638,A_original_v1
map_matchup_median_elo_advantage,10.182767868041992,8.0,5.4553552936362215e-05,0.0003731935692826095,C_same_map_matchup
win_rate_last_5_diff,10.031991004943848,7.0,2.042621193916183e-05,0.0002543093509199683,A_original_v1
