feature,raw_gain,normalized_gain,weight,rank_gain
both_teams_have_5_matches,18.1801700592041,0.1554423831957965,5.0,1
elo_diff,12.74625301361084,0.10898181583561109,506.0,2
both_teams_have_10_matches,8.234679222106934,0.07040738117238748,5.0,3
both_teams_have_history,8.232845306396484,0.0703917009984571,1.0,4
history_matches_min,6.694040298461914,0.05723475489025068,313.0,5
total_matches_before_diff,6.688119888305664,0.05718413475517014,496.0,6
overall_win_rate_diff,5.084600448608398,0.043473873388217704,432.0,7
avg_series_margin_last_10_diff,4.929518222808838,0.04214790390107377,246.0,8
history_matches_sum,4.725607872009277,0.04040444876378106,310.0,9
win_rate_last_5_diff,4.658707618713379,0.039832444498977604,141.0,10
days_since_last_match_diff,4.614294052124023,0.039452703791690906,480.0,11
format_win_rate_diff,4.601381301879883,0.0393422984068664,342.0,12
win_rate_last_10_diff,4.498793601989746,0.03846516268670713,216.0,13
avg_series_margin_last_5_diff,4.3416748046875,0.037121780297104355,269.0,14
tier_tier3,4.336950302124023,0.03708138529884582,19.0,15
matches_last_30_days_diff,4.248558044433594,0.03632562211584406,295.0,16
tier_tier2,4.018907070159912,0.03436208191638014,49.0,17
bestOf_BO3,3.199622869491577,0.027357115062284363,28.0,18
bestOf_BO5,2.92288875579834,0.024991009024553687,2.0,19
