feature,mean_importance,std_importance,rank
elo_diff,0.09892674154594215,0.019298206247604005,1
total_matches_before_diff,0.03601619482006864,0.005803777565100659,2
history_matches_min,0.008347465289638057,0.0031235680783427643,3
days_since_last_match_diff,0.0026706383491730823,0.0014397916106057757,4
avg_series_margin_last_10_diff,0.002091563021157661,0.0007799800207357082,5
overall_win_rate_diff,0.0012355080471778911,0.0007232520857602087,6
history_matches_sum,0.0011836685486948718,0.0008408025203549738,7
avg_series_margin_last_5_diff,0.0009831421165784836,0.0006561970304666649,8
win_rate_last_10_diff,0.00048273021358670177,0.000291850414311275,9
matches_last_30_days_diff,0.0002981775804214437,0.00045814994098601055,10
both_teams_have_5_matches,0.0002959673692458531,0.00025492930540604197,11
both_teams_have_10_matches,0.00012015511663880929,3.376312774828704e-05,12
tier_tier3,0.0,0.0,13
bestOf_BO5,0.0,0.0,14
both_teams_have_history,0.0,0.0,15
win_rate_last_5_diff,-2.360907392158218e-05,0.0003344183369709645,16
bestOf_BO3,-5.5657135968234514e-05,7.39244092138623e-05,17
tier_tier2,-0.0002710522614480015,0.0004357079789038924,18
format_win_rate_diff,-0.00031626112640408265,0.0009640149822825122,19
